"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"Belanda";"Netherlands";"Saya ingin pergi ke Belanda untuk liburan musim panas.";"I want to go to the Netherlands for a summer vacation.";"Noun"
"belok";"turn";"Tolong beri tahu saya tempat yang tepat untuk belok kanan.";"Please tell me the right place to make a right turn.";"Noun"
"belum";"not yet";"Saya belum pernah mencoba makanan itu sebelumnya.";"I haven't tried that food yet.";"Adverb"
"belum biasa";"unusual";"Hari ini cuaca sangat tidak biasa.";"The weather today is very unusual.";"Phrase"
"belum pernah";"never";"Saya belum pernah melihat hal semacam ini sebelumnya.";"I have never seen anything like this before.";"Phrase"
"bemo";"public transportation in Indonesia";"Saya naik bemo ke pasar setiap hari.";"I take a bemo to the market every day.";"Noun"
"bendera";"flag";"Bendera negara kita dikibarkan dengan bangga di sana.";"Our country's flag is proudly flown there.";"Noun"
"bengkel";"workshop";"Mobil saya sedang diperbaiki di bengkel saat ini.";"My car is being repaired at the workshop right now.";"Noun"
"bentuk";"shape";"Bola memiliki bentuk yang bulat.";"A ball has a round shape.";"Noun"
"beragama";"religious";"Kami harus menghormati semua orang yang beragama berbeda.";"We should respect everyone who practices different religions.";"Adjective"
"beranda";"porch, veranda";"Saya senang duduk di beranda dan menikmati secangkir kopi.";"I love sitting on the porch and enjoying a cup of coffee.";"Noun"
"berangkat";"depart";"Kami akan berangkat ke Bandara Internasional besok pagi.";"We will depart for the International Airport tomorrow morning.";"Verb"
"berani";"brave";"Dia sangat berani menghadapi semua rintangan yang dihadapinya.";"He is very brave in facing all the obstacles he encounters.";"Adjective"
"berapa";"how much, how many";"Berapa harga buku itu?";"How much is the price of that book?";"Question word"
"berapa harga";"how much does it cost";"Berapa harga tiket masuk ke taman ini?";"How much does the entrance ticket to this park cost?";"Question phrase"
"berapa kali";"how many times";"Saya sudah pergi ke Paris dua kali.";"I have been to Paris twice.";"Question phrase"
"berapa lama";"how long";"Berapa lama waktu tempuh dari Jakarta ke Surabaya dengan kereta api?";"How long is the travel time from Jakarta to Surabaya by train?";"Question phrase"
"berapa tahun";"how many years";"Berapa tahun Anda telah bekerja di perusahaan ini?";"How many years have you been working in this company?";"Question phrase"
"berasal";"come from";"Saya berasal dari sebuah kota kecil di pedesaan.";"I come from a small town in the countryside.";"Verb"
"berbahasa";"speak";"Dia sangat pandai berbahasa Inggris.";"He is very fluent in speaking English.";"Verb"
