"words in indonesian"; "words in english"; "sentence in indonesian using the words"; "english translation"; "part of speech of the words"
"dibeli"; "purchased"; "Saya ingin dibeli sepatu baru."; "I want to buy new shoes."; "verb"
"diberi"; "given"; "Dia diberi cokelat oleh temannya."; "He was given chocolate by his friend."; "verb"
"diberikan"; "provided"; "Bantuan diberikan kepada mereka yang membutuhkan."; "Help is provided to those in need."; "verb"
"dibuang"; "discarded"; "Sampah harus dibuang dengan benar."; "Garbage should be discarded properly."; "verb"
"dibuat"; "made"; "Kue ini dibuat dengan cinta."; "This cake is made with love."; "verb"
"dibungkus"; "wrapped"; "Hadiah itu dibungkus dengan kertas warna-warni."; "The gift was wrapped in colorful paper."; "verb"
"dicampur"; "mixed"; "Bahan-bahan harus dicampur dengan baik."; "The ingredients should be mixed well."; "verb"
"dicoba"; "tried"; "Ayo dicoba makanan baru ini."; "Let's try this new food."; "verb"
"dicuci"; "washed"; "Baju-baju ini harus dicuci dengan air dingin."; "These clothes should be washed with cold water."; "verb"
"di dekat"; "near"; "Rumahku berada di dekat taman."; "My house is near the park."; "prepositional phrase"
"di depan"; "in front"; "Mobil itu parkir di depan toko."; "The car is parked in front of the store."; "prepositional phrase"
"diganggu"; "disturbed"; "Anak itu diganggu oleh teman sekelasnya."; "The child was disturbed by his classmate."; "verb"
"diganti"; "replaced"; "Lampu itu perlu diganti."; "The bulb needs to be replaced."; "verb"
"digunakan"; "used"; "Bahan-bahan alami ini digunakan dalam masker wajah."; "These natural ingredients are used in face masks."; "verb"
"diingat-ingat"; "remembered"; "Nama kamu sulit diingat-ingat."; "Your name is hard to be remembered."; "verb"
"diinginkan"; "desired"; "Kehidupan yang bahagia selalu diinginkan."; "A happy life is always desired."; "verb"
"diisi"; "filled"; "Formulir pendaftaran harus diisi dengan lengkap."; "The registration form should be filled completely."; "verb"
"diizinkan"; "allowed"; "Anjing-anjing kecil diizinkan masuk."; "Small dogs are allowed inside."; "verb"
"dijahit"; "sewn"; "Baju baru ini dijahit oleh ibuku."; "This new dress was sewn by my mother."; "verb"
"dijajah"; "colonized"; "Negara itu pernah dijajah oleh bangsa asing."; "The country was once colonized by foreign powers."; "verb"
