"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"elektronik";"electronics";"Saya membeli produk elektronik baru."; "I bought a new electronics product."; "noun"
"ember";"bucket";"Tolong ambilkan ember itu."; "Please fetch that bucket."; "noun"
"enak";"delicious";"Makanan ini enak sekali."; "This food is very delicious."; "adjective"
"fakultas";"faculty";"Dia adalah seorang dosen di fakultas ekonomi."; "He is a lecturer in the faculty of economics."; "noun"
"Filipina";"Philippines";"Saya ingin mengunjungi Filipina suatu hari nanti."; "I want to visit the Philippines one day."; "noun"
"film horor";"horror film";"Saya sangat suka menonton film horor."; "I really enjoy watching horror films."; "noun"
"filsafat";"philosophy";"Dia memiliki pengetahuan mendalam tentang filsafat."; "He has a deep knowledge of philosophy."; "noun"
"filsuf";"philosopher";"Aristoteles adalah seorang filsuf terkenal."; "Aristotle was a famous philosopher."; "noun"
"formulir";"form";"Tolong lengkapi formulir ini dengan benar."; "Please fill out this form correctly."; "noun"
"gadis";"girl";"Dia adalah gadis yang pintar dan berbakat."; "She is a smart and talented girl."; "noun"
"gampang";"easy";"Tugas ini sangat gampang untuk diselesaikan."; "This task is very easy to complete."; "adjective"
"gang";"alley";"Rumahku terletak di gang kecil di belakang toko."; "My house is located in a small alley behind the store."; "noun"
"ganti";"change";"Saya perlu ganti uang receh."; "I need some change."; "verb"
"garasi";"garage";"Mobilku parkir di garasi rumah."; "My car is parked in the garage."; "noun"
"gelar";"degree";"Dia baru saja mendapatkan gelar sarjana."; "He just earned his bachelor's degree."; "noun"
"gelas";"glass";"Minum air putih menggunakan gelas ini."; "Drink water using this glass."; "noun"
"genteng";"roof tile";"Atap rumahku terbuat dari genteng."; "My house's roof is made of roof tiles."; "noun"
"gerakan";"movement";"Gerakan tariannya sangat memukau."; "His dance movements are very captivating."; "noun"
"gimana";"how";"Gimana kabarmu?"; "How are you?"; "question word"
"goreng";"fried";"Saya suka makanan yang digoreng."; "I like fried food."; "adjective"
