"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"ujung";"edge";"Aku berdiri di ujung jembatan";"I stand at the edge of the bridge";"noun"
"ulama";"cleric";"Pakar ulama memberikan ceramah";"The expert cleric gives a lecture";"noun"
"umum";"general";"Pasar umumnya ramai pada hari Sabtu";"The general market is usually crowded on Saturdays";"adjective"
"umur";"age";"Berapa umur kamu sekarang?";"What is your age now?";"noun"
"undang-undang";"law";"Saya harus mematuhi undang-undang";"I have to comply with the law";"noun"
"untuk";"for";"Ini hadiah untukmu";"This is a gift for you";"preposition"
"untung";"profit";"Dia mendapatkan untung besar dari investasinya";"He made a huge profit from his investment";"noun"
"urusan";"affair";"Dia sibuk dengan urusan kerjanya";"He is busy with his work affairs";"noun"
"usaha tani";"farming";"Orangtuaku bergerak di bidang usaha tani";"My parents are involved in farming";"noun"
"usus";"intestines";"Luka pada ususnya harus dioperasi";"The injury on his intestines needs surgery";"noun"
"waduh";"oh no";"Waduh, aku lupa membawa dompetku";"Oh no, I forgot to bring my wallet";"interjection"
"wah";"wow";"Wah, kamu punya bakat yang luar biasa";"Wow, you have amazing talent";"interjection"
"wajah";"face";"Dia memiliki wajah yang cantik";"She has a beautiful face";"noun"
"waktu";"time";"Apa waktu terbaik untuk menghubungimu?";"What is the best time to contact you?";"noun"
"waktu senggang";"free time";"Saya ingin mengisi waktu senggang dengan membaca buku";"I want to fill my free time by reading books";"noun"
"walaupun";"although";"Walaupun hujan, kami tetap pergi ke pantai";"Although it's raining, we still go to the beach";"conjunction"
"wartawan";"journalist";"Seorang wartawan sedang mewawancarai selebriti";"A journalist is interviewing a celebrity";"noun"
"warung";"small shop";"Saya membeli makanan di warung";"I buy food at a small shop";"noun"
"wawancara";"interview";"Kami perlu mempersiapkan diri sebelum wawancara kerja";"We need to prepare ourselves before a job interview";"noun"
"ya";"yes";"Apakah kamu mau pergi? - Ya, saya mau";"Do you want to go? - Yes, I do";"interjection"
