"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"kalo pagi";"if morning";"Kalo pagi saya akan pergi jogging";"If morning comes, I will go jogging";"idiom"
"kamar kecil";"small room";"Tolong temukan kamar kecil yang bersih";"Please find a clean small room";"noun, adjective"
"kami";"we";"Kami adalah teman sejak kecil";"We have been friends since childhood";"pronoun"
"kampungan";"village-like";"Mereka menganggap rumah saya terlalu kampungan";"They think my house is too village-like";"adjective"
"kampus";"campus";"Saya akan pergi ke kampus untuk berkuliah";"I will go to the campus for classes";"noun"
"kamu";"you";"Apa kamu ingin makan malam bersama?";"Do you want to have dinner together?";"pronoun"
"kan";"right";"Dia pasti ada di sana, kan?";"He must be there, right?";"particle"
"kangkung";"water spinach";"Sayur yang enak adalah kangkung";"Delicious vegetable is water spinach";"noun"
"kanker";"cancer";"Kanker adalah penyakit yang mematikan";"Cancer is a deadly disease";"noun"
"karcis";"ticket";"Tolong belikan satu karcis kereta api";"Please buy one train ticket";"noun"
"karena";"because";"Saya tidak bisa pergi karena hujan";"I cannot go because of the rain";"conjunction"
"kartu pos";"postcard";"Saya akan kirim kartu pos kepadamu";"I will send a postcard to you";"noun"
"Kartu Tanda Penduduk";"Identity card";"Saya harus membawa Kartu Tanda Penduduk saat pergi keluar";"I have to bring my Identity card when going out";"noun"
"kasihan";"pity";"Kasihan anak kecil tersebut, ia terlantar di jalan";"Pity that little child, abandoned on the street";"interjection, adjective"
"kasino";"casino";"Dia suka bermain di kasino";"He enjoys playing at the casino";"noun"
"katanya";"according to him/her";"Katanya, cuaca akan cerah hari ini";"According to him/her, the weather will be sunny today";"adverb"
"Katolik";"Catholic";"Dia adalah seorang penganut agama Katolik";"He is a follower of the Catholic religion";"noun, adjective"
"kau";"you";"Kau adalah teman yang baik";"You are a good friend";"pronoun"
"kaus";"t-shirt";"Saya suka memakai kaus berwarna-warni";"I like wearing colorful t-shirts";"noun"
"kaviar";"caviar";"Kaviar adalah makanan mewah";"Caviar is a luxury food";"noun"
