"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"mengandung";"contain";"Pada saat hamil, makanan yang dikonsumsi harus mengandung nutrisi yang seimbang.";"During pregnancy, the food consumed should contain a balanced nutrition.";"verb"
"segera";"immediately";"Mohon segera datang ke kantor saya.";"Please come to my office immediately.";"adverb"
"timbul";"arise";"Masalah baru akan timbul jika kita tidak menyelesaikan masalah saat ini.";"New problems will arise if we do not solve the current problem.";"verb"
"diperlukan";"required";"Kerja sama tim yang baik diperlukan untuk mencapai tujuan proyek.";"Good teamwork is required to achieve the project's goals.";"adjective"
"diterapkan";"implemented";"Sistem baru akan diterapkan mulai minggu depan.";"The new system will be implemented starting next week.";"verb"
"dia";"he/she";"Dia adalah seorang ahli dalam bidang matematika.";"He/she is an expert in the field of mathematics.";"pronoun"
"bertanggung";"responsible";"Setiap anggota tim harus bertanggung jawab atas tugas masing-masing.";"Every team member should be responsible for their respective tasks.";"verb"
"jawab";"answer";"Silakan berikan jawabannya dalam bentuk tulisan.";"Please provide the answer in written form.";"noun"
"dibandingkan";"compared";"Produk ini lebih baik dibandingkan dengan versi sebelumnya.";"This product is better compared to the previous version.";"verb"
"muncul";"emerge";"Masalah baru muncul setelah pembaruan perangkat lunak.";"New problems emerge after the software update.";"verb"
"menitikberatkan";"emphasize";"Penting untuk menitikberatkan aspek keamanan dalam perencanaan proyek ini.";"It is important to emphasize the security aspect in the planning of this project.";"verb"
"lalu";"then";"Pilih menu makanan terlebih dahulu, lalu tunggu pelayan datang.";"Choose the food menu first, then wait for the waiter to come.";"conjunction"
"menyediakan";"provide";"Restoran ini menyediakan berbagai pilihan menu makanan.";"This restaurant provides various food menu options.";"verb"
"khusus";"special";"Ini adalah kesempatan khusus yang tidak boleh dilewatkan.";"This is a special opportunity that should not be missed.";"adjective"
"gunakan";"use";"Mohon gunakan pintu keluar di sisi kanan.";"Please use the exit door on the right side.";"verb"
"melayani";"serve";"Pelayan restoran sangat ramah dalam melayani pelanggan.";"The restaurant servers are very friendly in serving customers.";"verb"
"masing-masing";"each";"Setiap siswa akan mendapatkan hadiah masing-masing.";"Each student will receive their own respective gifts.";"pronoun"
