"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"mendapatkannya";"get it";"Seseorang perlu berusaha untuk mendapatkannya."; "Someone needs to work to get it.";"verb"
"segala";"all";"Segala sesuatu akan baik-baik saja."; "Everything will be fine.";"adjective"
"terletak";"located";"Posisi rumah terletak di pinggir kota."; "The house is located on the outskirts of the city.";"verb"
"dalam";"in";"Buku itu tersimpan dalam lemari."; "The book is stored in the closet.";"preposition"
"menangis";"cry";"Ibu menangis karena sangat bahagia."; "Mom cries because she is very happy.";"verb"
"salah";"wrong";"Anak itu tahu bahwa dia melakukan sesuatu yang salah."; "The child knows that he did something wrong.";"adjective"
"tekanan";"pressure";"Dia merasa tekanan untuk menyelesaikan proyek di waktu yang singkat."; "She feels pressure to finish the project in a short time.";"noun"
"baru";"new";"Saya membeli baju baru kemarin."; "I bought a new shirt yesterday.";"adjective"
"andaikata";"if only";"Andaikata saya bisa kembali ke masa lalu dan mengubah segalanya."; "If only I could go back in time and change everything.";"conjunction"
"dianggap";"considered";"Dia dianggap sebagai ahli dalam bidangnya."; "He is considered an expert in his field.";"verb"
"bermain";"play";"Anak-anak senang bermain di taman."; "Children love to play in the park.";"verb"
"milik";"belong to";"Buku ini milik saya."; "This book belongs to me.";"verb"
"sebaliknya";"on the other hand";"Saya rasa tidak, sebaliknya saya pikir itu buruk."; "I don't think so, on the other hand I think that's bad.";"adverb"
"didapat";"obtained";"Hasil yang diharapkan tidak didapat."; "The expected result was not obtained.";"verb"
"kiranya";"maybe";"Kiranya besok saya bisa melihat Anda."; "Maybe tomorrow I can see you.";"adverb"
"tidak";"not";"Saya tidak suka kopi hitam."; "I don't like black coffee.";"adverb"
"bersama";"together";"Mari kita bekerja bersama untuk menyelesaikan proyek ini."; "Let's work together to complete this project.";"adverb"
"dicari";"looking for";"Saya sedang mencari kunci mobil saya."; "I am looking for my car keys.";"verb"
"menjadi";"become";"Seseorang tidak menjadi besar hanya dengan berbicara."; "A person does not become great just by talking.";"verb"
"khususnya";"especially";"Saya menyukai buah-buahan segar, khususnya anggur."; "I like fresh fruit, especially grapes.";"adverb"
