"ingin";"want";"Saya ingin makan nasi goreng hari ini";"I want to eat fried rice today";"verb"
"makan";"eat";"Saya suka makan ayam goreng";"I like to eat fried chicken";"verb"
"terdapat";"found";"Di kota ini terdapat banyak restoran";"There are many restaurants found in this city";"verb"
"sebab";"reason";"Dia tidak datang ke acara tersebut sebab dia sakit";"She didn't come to the event for the reason that she was sick";"noun"
"kenapa";"why";"Kenapa Anda tidak datang ke pertemuan tersebut?";"Why didn't you come to the meeting?";"interrogative"
"komunitas";"community";"Saya tergabung dalam komunitas olahraga";"I'm part of the sports community";"noun"
"diri";"self";"Kita harus menghargai diri sendiri";"We should respect ourselves";"noun"
"sekali";"very";"Makanan di restoran ini sangat enak sekali";"The food at this restaurant is very delicious";"adverb"
"senang";"happy";"Saya sangat senang bisa bertemu dengan teman lama saya";"I am very happy to be able to meet my old friend";"adjective"
"dirinya";"himself/herself";"Dia tidak ingin membicarakan hal tersebut dengan siapapun, dirinya sendiri saja";"He didn't want to talk about it with anyone, just himself";"pronoun"
"sehingga";"so that";"Saya belajar bahasa Inggris dengan tekun sehingga bisa bekerja di perusahaan multinasional";"I studied English diligently so that I can work at a multinational company";"conjunction"
"mempunyai";"have";"Saya mempunyai banyak pekerjaan yang harus selesai hari ini";"I have a lot of work that needs to be finished today";"verb"
"berkata";"said";"Dia berkata bahwa dia akan datang ke pesta ulang tahun saya";"He said that he will come to my birthday party";"verb"
"hal-hal";"things";"Saya selalu memikirkan hal-hal yang positif dalam hidup saya";"I always think about positive things in my life";"noun"
"ketika";"when";"Saya tiba di bandara ketika pesawat sudah siap berangkat";"I arrived at the airport when the plane was ready to depart";"conjunction"
"sejak";"since";"Saya sudah tidak makan daging sejak dua tahun yang lalu";"I haven't eaten meat since two years ago";"preposition"
"tahu";"know";"Saya tidak tahu apa yang harus saya lakukan";"I don't know what I should do";"verb"
"kota";"city";"Saya lahir dan besar di kota ini";"I was born and raised in this city";"noun"
"sebaiknya";"should";"Sebaiknya kamu segera memperbaiki printer itu";"You should fix the printer soon";"adverb"
"terdiri";"consist";"Mobil ini terdiri dari mesin yang handal";"This car consists of a reliable engine";"verb"
