"datangnya";"coming";"Saat ini, sudah dekat dengan datangnya hari kemerdekaan.";"Currently, it's close to the coming day of independence.";"noun"
"bukannya";"not instead";"Saya ingin membeli baju baru bukannya celana.";"I want to buy a new shirt, not instead of pants.";"adverb"
"akal";"wisdom";"Tidak semua orang bisa menggunakan akalnya dengan baik.";"Not everyone can use their wisdom properly.";"noun"
"akses";"access";"Saya kehilangan akses ke akun email saya.";"I lost access to my email account.";"noun"
"daging";"meat";"Saya membeli 1 kilogram daging sapi di pasar.";"I bought 1 kilogram of beef at the market.";"noun"
"menyenangkan";"enjoyable";"Bermain game bersama sahabat merupakan hal yang menyenangkan.";"Playing games with friends is an enjoyable thing.";"adjective"
"kecelakaan";"accident";"Kecelakaan mobil terjadi di jalan raya.";"A car accident occurred on the highway.";"noun"
"tanah";"land";"Luasnya tanah di daerah ini sangat luas.";"The land area in this area is very wide.";"noun"
"lahir";"born";"Ia lahir pada hari Sabtu.";"He was born on Saturday.";"verb"
"dipikirkan";"thought of";"Saat ini, saya masih dipikirkan masalah tersebut.";"Currently, I'm still thinking of that problem.";"verb"
"mencapai";"achieve";"Hanya sedikit orang yang bisa mencapai cita-cita mereka.";"Only a few people can achieve their dreams.";"verb"
"suami";"husband";"Istri saya selalu bahagia bersama suami tercintanya.";"My wife is always happy with her beloved husband.";"noun"
"sama-sama";"together";"Mari kita bekerja sama-sama untuk mencapai tujuan kita.";"Let's work together to achieve our goals.";"adverb"
"kotor";"dirty";"Rumah yang kotor dapat menjadi sarang bakteri.";"Dirty homes can become a breeding ground for bacteria.";"adjective"
"kerusakan";"damage";"Kerusakan jalan banyak terjadi pada musim hujan.";"Road damage often occurs during the rainy season.";"noun"
"jadi-jadian";"pretending to be someone else";"Dia tidak tulus dan selalu jadi-jadian.";"He's not sincere and always pretending to be someone else.";"adjective"
"lalu-lalang";"passing by";"Setiap hari, banyak kendaraan yang lalu-lalang di depan rumah saya.";"Every day, many vehicles pass by in front of my house.";"noun"
"anehnya";"strangeness";"Anehnya, saya tidak mengetahui kabar dari teman saya yang sedang sakit.";"Strangeness, I don't know the news about my sick friend.";"noun"
"tampaknya";"apparently";"Tampaknya cuaca akan cerah hari ini.";"Apparently, the weather will be sunny today.";"adverb"
"sebelah";"next to";"Toko baju tersebut berada di sebelah toko sepatu.";"The clothing store is next to the shoe store.";"adverb"
