"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"sehari-hari";"daily";"Sehari-hari saya selalu bangun jam 5 pagi untuk berolahraga";"Every day I always wake up at 5am to exercise";"adverb"
"sisi";"side";"Sisi manis dari hidup adalah memiliki teman-teman dan keluarga yang selalu mendukung";"The sweet side of life is having friends and family who always support";"noun"
"buat";"make";"Saya suka membuat kue di waktu senggang saya";"I like to make cakes in my free time";"verb"
"masalah";"problem";"Saya sedang menghadapi masalah di pekerjaan saya saat ini";"I am currently facing problems at my job";"noun"
"atas";"on top of";"Kucing saya sering duduk di atas meja kerja saya";"My cat often sits on top of my desk";"preposition"
"bagaimana";"how";"Bagaimana kabarmu hari ini?";"How are you today?";"interrogative pronoun"
"komentar";"comment";"Saya senang menerima komentar dari teman-teman mengenai tulisan saya";"I am happy to receive comments from friends about my writing";"noun"
"bisa";"can";"Saya percaya kamu pasti bisa menyelesaikan tugas ini dengan baik";"I believe you can complete this task well";"auxiliary verb"
"tetapi";"but";"Saya ingin membeli sepatu baru, tetapi saya tidak punya cukup uang";"I want to buy new shoes, but I don't have enough money";"conjunction"
"mengapa";"why";"Tolong beritahu saya mengapa kamu sedih";"Please tell me why you are sad";"interrogative pronoun"
"juga";"also";"Saya ingin belajar bahasa Spanyol juga";"I want to learn Spanish also";"adverb"
"tanpa";"without";"Saya tidak bisa berpikir tanpa kopi di pagi hari";"I cannot think without coffee in the morning";"preposition"
"berjalan";"walking";"Saya suka berjalan-jalan di taman pada akhir pekan";"I like walking in the park on weekends";"verb"
"kasus";"case";"Kasus ini harus diselesaikan secepat mungkin";"This case must be solved as soon as possible";"noun"
"menemukan";"find";"Saya senang menemukan buku yang saya cari-cari sejak lama";"I am happy to find the book I have been looking for a long time";"verb"
"mereka";"they";"Mereka semua pulang ke rumah masing-masing setelah acara selesai";"They all went home after the event ended";"pronoun"
"diambil";"taken";"Barang-barang saya sering diambil oleh adik saya tanpa sepengetahuan saya";"My belongings are often taken by my sibling without my knowledge";"verb"
"punya";"have";"Saya punya banyak karya seni di rumah saya";"I have a lot of artwork in my home";"verb"
"tersebut";"that";"Saya tidak tahu apa arti dari kata tersebut";"I do not know what the meaning of that word is";"determiner"
"dilakukan";"done";"Pekerjaan rumah harus dilakukan agar rumah tetap bersih dan nyaman";"Household chores must be done to keep the house clean and comfortable";"verb"
