memasang;install;Saya akan memasang AC besok di kamarku;I will install the AC in my room tomorrow;verb;180
keputusan;decision;Saya harus membuat keputusan yang sulit;I have to make a difficult decision;noun;181
terkini;latest;Berita terkini menunjukkan kenaikan harga minyak;The latest news shows an increase in oil prices;adjective;182
mengumumkan;announce;CEO mengumumkan rencana baru perusahaan;The CEO announced the company's new plan;verb;183
mulai;begin;Aku akan mulai kuliah pada minggu depan;I will begin school next week;verb;184
pantai;beach;Aku ingin pergi ke pantai bulan depan;I want to go to the beach next month;noun;185
prinsip;principle;Saya selalu berpegang pada prinsip kejujuran;I always adhere to the principle of honesty;noun;186
keinginan;desire;Mimpiku adalah mewujudkan keinginan-keinginan orang tua saya;My dream is to fulfill my parents' desires;noun;187
berbeda;different;Setiap orang mempunyai keunikan yang berbeda;Each person has a different uniqueness;adjective;188
besok;tomorrow;Aku akan bertemu dengan teman-temanku besok;I will meet my friends tomorrow;adverb;189
kesempatan kerja;job opportunity;Banyak kesempatan kerja di perusahaan ini;There are lots of job opportunities in this company;noun;190
penuh;full;Ruang tunggu di bandara penuh dengan penumpang;The waiting room at the airport is full of passengers;adjective;191
investasi;investment;Saya berencana melakukan investasi dalam bentuk saham;I plan to invest in stocks;noun;192
mengalami;experience;Dia sudah mengalami banyak hal dalam hidupnya;He has experienced many things in his life;verb;193
strategi;strategy;Kami membutuhkan strategi baru untuk menghadapi persaingan;We need a new strategy to face the competition;noun;194
menghasilkan;produce;Perusahaan ini menghasilkan banyak produk berkualitas;This company produces a lot of high-quality products;verb;195
arah;direction;Saya bingung dalam memilih arah yang harus diambil;I'm confused in choosing the direction to take;noun;196
pemerintahan;government;Kita harus mendukung pemerintahan yang baik;We have to support a good government;noun;197
menengah;middle;Sekolah menengah adalah masa-masa yang paling menentukan dalam hidup;Middle school is the most crucial time in life;adjective;198
berlangsung;occur;Pertandingan sepak bola akan berlangsung di stadion besar;The soccer game will occur at the big stadium;verb;199
