berikutnya;next;Berikutnya, kita akan membahas masalah ekonomi.;Next, we will discuss economic issues.;adverb;140
orangtua;parents;Orangtua saya ingin bertemu denganmu.;My parents want to meet you.;noun;141
keamanan;security;Kami harus meningkatkan keamanan rumah kita.;We need to improve the security of our house.;noun;142
merasa;feel;Saya merasa senang bisa bertemu denganmu.;I feel happy to meet you.;verb;143
kalangan;circle;Dia termasuk dalam kalangan pebisnis terkenal di kota ini.;He is among the circle of famous businessmen in this city.;noun;144
risiko;risk;Berinvestasi di saham membawa risiko.;Investing in stocks involves risks.;noun;145
berkembang;develop;Kota ini sedang berkembang dengan pesatnya.;This city is developing rapidly.;verb;146
perwakilan;representative;Saya akan mengirimkan perwakilan untuk menghadiri acara itu.;I will send a representative to attend the event.;noun;147
dirilis;released;Film terbaru telah dirilis dan akan tayang besok.;The latest movie has been released and will be screened tomorrow.;verb;148
pemberian;giving;Pemberian hadiah ulang tahun sangat diapresiasi oleh anak saya.;Giving birthday presents is highly appreciated by my child.;noun;149
semacam;kind of;Dia menawarkan semacam minuman berenergi.;He offers a kind of energy drink.;adjective;150
kecuali;except;Semua karyawan akan mendapat bonus, kecuali yang baru bergabung.;All employees will receive bonuses, except for those who have recently joined.;conjunction;151
kebangsaan;nationality;Saya bangga dengan kebangsaan saya.;I am proud of my nationality.;noun;152
pengetahuan;knowledge;Pengetahuan adalah kekuatan.;Knowledge is power.;noun;153
menyelesaikan;finish;Saya akan menyelesaikan tugas ini dalam waktu satu jam.;I will finish this task within an hour.;verb;154
menyusun;compose;Para ahli telah menyusun rencana untuk proyek ini.;Experts have composed a plan for this project.;verb;155
niat;intention;Saya melakukan ini dengan niat yang baik.;I am doing this with good intention.;noun;156
kesehatan;health;Kesehatan adalah harta yang paling berharga.;Health is the most valuable asset.;noun;157
pembangunan;development;Kami sedang membangun jalan raya baru untuk mempercepat pembangunan kota ini.;We are building a new highway to accelerate the development of this city.;noun;158
puncak;peak;Puncak Gunung Rinjani adalah tempat tujuan para pendaki.;The peak of Mount Rinjani is a destination for climbers.;noun;159
