keadaannya;its condition;Keadaannya sedang buruk karena sering hujan.;Its condition is bad because it has been raining frequently.; noun;220
sambil;while;Dia masak sambil bernyanyi.;She cooks while singing.; conjunction;221
bila-bila;anytime;Kamu bisa datang ke rumahku bila-bila kamu mau.;You can come to my house anytime you want.; adverb;222
disebutkan;mentioned;Tidak ada nama dia yang disebutkan dalam rapat itu.;Her name was not mentioned in the meeting.; verb;223
menjelaskan;explain;Dia sulit menjelaskan konsep tersebut.;It's hard for her to explain the concept.; verb;224
angkatan;generation;Angkatan 90-an banyak mengalami kemajuan teknologi.;The 90s generation has experienced a lot of technological advancements.; noun;225
menang;win;Tim basket sekolah kita menang dalam kompetisi tersebut.;Our school basketball team won the competition.; verb;226
diterima;accepted;Sudah berapa lamaran kerja yang kamu kirimkan dan diterima?;How many job applications have you sent and been accepted?; verb;227
pekerja;worker;Banyak pekerja mengeluhkan kondisi kerjanya yang sulit di mana-mana.;Many workers complain about their difficult working conditions everywhere.; noun;228
kamar;room;Kamu sudah tidur di kamar baru kita?;Have you slept in our new room yet?; noun;229
sarana;means;Pemerintah menyediakan berbagai sarana untuk mengembangkan pendidikan di Indonesia.;The government provides various means to develop education in Indonesia.; noun;230
terbuka;open;Ini adalah kesempatan yang terbuka untuk semua orang.;This is an open opportunity for everyone.; adjective;231
pribadi;personal;Jangan mencampuri urusan pribadi orang lain.;Don't interfere in someone else's personal affairs.; adjective;232
ilmu;knowledge;Ilmu yang didapat dari buku dan pengalaman sangat berbeda.;The knowledge gained from books and experiences is very different.; noun;233
rumah-rumah;houses;Di desa itu banyak rumah-rumah tua yang tidak terawat.;In that village there are many old houses that are not well-maintained.; noun;234
peserta;participant;Ada sekitar 50 peserta yang hadir dalam acara itu.;There were around 50 participants that attended the event.; noun;235
lain-lain;others;Tolong cantumkan jenis barang lain-lain di kolom ini.;Please list the other types of items in this column.; pronoun;236
agaknya;probably;Dia agaknya memang tidak suka pada saya.;She probably doesn't like me.; adverb;237
pentingnya;importance;Dia menjelaskan pentingnya menjaga kesehatan gigi.;She explained the importance of maintaining good dental health.; noun;238
kepercayaan;belief;Setiap orang memiliki kepercayaan yang berbeda-beda.;Each person has different beliefs.; noun;239
