menjalankan;run;Dia suka menjalankan bisnisnya sendiri.;He likes to run his own business.;verb;160
ide;idea;Saya punya beberapa ide untuk proyek baru.;I have some ideas for a new project.;noun;161
menjadi hal;become a thing;Mengurangi penggunaan plastik perlahan-lahan menjadi hal yang harus kita lakukan.;Reducing plastic usage slowly becoming a thing we must do.;verb phrase;162
selesai;finished;Setelah bekerja selama 8 jam, dia merasa senang ketika pekerjaannya selesai.;After working for 8 hours, he feels happy when his job is finished.;adjective;163
pendidikan;education;Dalam kehidupan, pendidikan sangat penting.;In life, education is very important.;noun;164
modal;capital;Untuk memulai bisnis, kamu membutuhkan modal yang cukup.;To start a business, you need enough capital.;noun;165
menetap;settle;Dia memutuskan untuk menetap di kota tersebut.;He decided to settle in that city.;verb;166
merah;red;Warna favoritnya adalah merah.;His favorite color is red.;adjective;167
minat;interest;Saya memiliki minat dalam seni dan musik.;I have an interest in art and music.;noun;168
serupa;similar;Kami memiliki minat serupa dalam film-film klasik.;We have similar interests in classic movies.;adjective;169
pengusaha;entrepreneur;Dia adalah seorang pengusaha sukses yang memiliki banyak bisnis.;He is a successful entrepreneur who owns many businesses.;noun;170
dibuka;opened;Toko baru ini baru saja dibuka.;This new store just opened.;verb;171
memenuhi;fulfill;Saya ingin memenuhi impian saya untuk menempuh pendidikan di luar negeri.;I want to fulfill my dream of studying abroad.;verb;172
duduk;sit;Jangan lupa untuk duduk dan istirahat setelah berdiri lama.;Don't forget to sit and rest after standing for a long time.;verb;173
mengelola;manage;Dia sangat ahli dalam mengelola keuangan pribadinya.;He is very skilled at managing his personal finances.;verb;174
perubahan;change;Perubahan kadang-kadang sulit, tapi itu penting untuk berkembang.;Change can be difficult sometimes, but it's important for growth.;noun;175
masuk;enter;Dia masuk ke dalam kamar dan menutup pintunya.;He entered the room and closed the door.;verb;176
seniman;artist;Dia adalah seorang seniman terkenal yang melukis pemandangan alam.;He is a famous artist who paints landscapes.;noun;177
bergantung;depend;Dia bergantung pada teleponnya untuk bekerja.;He depends on his phone for work.;verb;178
kebijakan;policy;Kebijakan perusahaan kami adalah memberikan kesempatan yang sama pada semua karyawan.;Our company policy is to provide equal opportunities to all employees.;noun;179
