"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"mengalami perubahan";"undergo changes";"Sekarang, dia sedang mengalami perubahan dalam kehidupannya.";"Now, she is undergoing changes in her life.";"verb, noun"
"kehendak";"wish";"Saya ingin memenuhi kehendak orang tua saya.";"I want to fulfill my parents' wishes.";"noun"
"kepedulian";"concern";"Kepedulianmu terhadap keluarga sangatlah penting.";"Your concern for family is very important.";"noun"
"di samping itu";"besides that";"Saya suka bermain tenis, di samping itu saya juga suka bermain basket.";"I like playing tennis, besides that I also like playing basketball.";"phrase"
"baiknya";"it's better";"Baiknya tidak terlalu banyak minum kopi.";"It's better not to drink too much coffee.";"adverb"
"hari";"day";"Hari ini adalah hari terakhir saya di sini.";"Today is my last day here.";"noun"
"kehidupan";"life";"Kehidupan di kota besar berbeda dengan kehidupan di desa.";"Life in the city is different from life in the countryside.";"noun"
"rumah";"house";"Saya harus pulang ke rumah sebelum senja.";"I have to go home before dusk.";"noun"
"waktu-waktu";"times";"Dia sering mengingat waktu-waktu indah bersama teman lamanya.";"She often remembers the good times with her old friends.";"noun"
"ditemukan";"found";"Barang hilangmu telah ditemukan di kantin sekolah.";"Your lost item has been found in the school canteen.";"verb"
"mengajak";"invite";"Saya akan mengajak kamu pergi ke pesta malam ini.";"I will invite you to the party tonight.";"verb"
"tutup";"close";"Tolong tutup pintu saat keluar.";"Please close the door when you go out.";"verb, noun"
"rokok";"cigarette";"Jangan merokok di dalam ruangan ini, ada anak kecil.";"Don't smoke in this room, there are young children.";"noun"
"baiklah";"okay";"Baiklah, kita akan berbicara tentang proyek baru ini.";"Okay, let's talk about this new project.";"interjection"
"senangnya";"happiness";"Senangnya bisa bertemu dengan teman lama.";"The happiness of being able to meet old friends.";"noun"
"habis";"finished";"Sayang, roti cokelat itu sudah habis.";"Sorry, the chocolate bread is already finished.";"verb, adjective"
"membunuh";"kill";"Tidak pernah ada alasan yang baik untuk membunuh.";"There is never a good reason to kill.";"verb"
"gembira";"glad";"Saya sangat gembira bisa bertemu denganmu lagi.";"I am very glad to meet you again.";"adjective"
"sehat";"healthy";"Jaga kesehatanmu dengan makan buah-buahan setiap hari.";"Keep your health by eating fruits every day.";"adjective"
"padahal";"while in fact";"Dia selalu santai padahal dia memiliki banyak tugas yang harus diselesaikan.";"She always seems relaxed while in fact she has a lot of tasks to complete.";"conjunction"
