menurutnya;according to him/her;Menurutnya, hari ini cuaca sangat buruk.;According to him/her, the weather is very bad today.;Adverb;260
termasuk;included;Banyak insiden termasuk dalam laporan keamanan.;Many incidents are included in the security report.;Verb;261
pengalaman;experience;Pengalaman itu membawa kesuksesan.;That experience brought success.;Noun;262
yang dipimpin;led by;Serikat pekerja yang dipimpin oleh Pak Sabil berhasil dalam negosiasi.;The labor union led by Mr. Sabil succeeded in negotiations.;Verb+Preposition;263
perluasan;expansion;Perusahaan sedang dalam tahap perluasan.;The company is currently in an expansion phase.;Noun;264
hari ini;today;Hari ini adalah hari yang cerah.;Today is a bright day.;Noun;265
dapatkan;get;Dia harus mendapatkan uang untuk membelikan buku baru.;He/she needs to get money to buy a new book.;Verb;266
percaya;believe;Saya percaya kamu bisa melakukannya dengan baik.;I believe you can do it well.;Verb;267
melewati;pass;Mereka melewati jalan yang macet.;They passed through a congested road.;Verb;268
mencoba;try;Saya mencoba memasuki gedung tersebut, tapi terkunci.;I tried to enter the building but it was locked.;Verb;269
diatas;above;Kita berada di atas bukit saat matahari terbit.;We were above the hills when the sun rose.;Preposition;270
kekuatan;strength;Kekuatan jasmani dan rohani penting dalam hidup.;Physical and spiritual strength is important in life.;Noun;271
gunung;mountain;Gunung tersebut merupakan puncak tertinggi di wilayah itu.;That mountain is the highest peak in the area.;Noun;272
termasuk juga;also included;Dia sangat pandai dalam membuat kue, termasuk juga kue kering.;He/she is very good at making cakes, also including cookies.;Verb+Adverb;273
menghadapi;face;Mereka harus menghadapi masalah yang besar.;They have to face a big problem.;Verb;274
seiring dengan;along with;Perkembangan teknologi berjalan seiring dengan perkembangan zaman.;Technological development is walking along with the development of the era.;Preposition;275
selalu saja;always;Dia selalu saja mengeluh.;He/she always complains.;Adverb;276
setiap saat;every time;Dia siap membantu kamu setiap saat.;He/she is ready to help you every time.;Adverb;277
perlunya;necessity;Perlunya pendidikan bermutu di negeri ini sangat besar.;The necessity for quality education in this country is very high.;Noun;278
menetapkan;determine;Kita harus menetapkan tujuan dengan jelas agar bisa mencapainya.;We have to determine clear goals to achieve them.;Verb;279
