persaingan;competition;Persaingan di pasar semakin ketat.;Competition in the market is getting tighter.;Noun;120
promosi;promotion;Kami akan meluncurkan promosi besar-besaran bulan depan.;We will launch a massive promotion next month.;Noun;121
iklan;advertisement;Iklan itu sangat menarik perhatian saya.;That advertisement really caught my attention.;Noun;122
barang;goods;Toko ini menjual berbagai jenis barang elektronik.;This store sells various types of electronic goods.;Noun;123
dagang;trading;Dia sangat mahir dalam bidang dagang internasional.;He is very skilled in the field of international trading.;Noun;124
sebut;mentioned;Dia tidak pernah sebut nama saya ketika dia cerita.;He never mentioned my name when he told the story.;Verb;125
sejauh;as far as;Sejauh yang saya tahu, dia belum pernah ke luar negeri.;As far as I know, he has never been abroad.;Adverb;126
selatan;south;Kota ini terletak di bagian selatan pulau.;This city is located in the south of the island.;Noun;127
istri;wife;Istri saya sangat suka memasak masakan Indonesia.;My wife loves to cook Indonesian dishes.;Noun;128
kondisi;condition;Kondisi mobil tua ini masih memadai.;The condition of this old car is still adequate.;Noun;129
jelas;clear;Instruksi dari bos tidak jelas bagi saya.;The instructions from the boss are not clear to me.;Adjective;130
menikah;marry;Saya berencana untuk menikah tahun depan.;I plan to get married next year.;Verb;131
halaman;yard;Halaman rumahnya sangat luas dan hijau.;The yard of his house is very spacious and green.;Noun;132
angka;number;Angka pengangguran di negara ini semakin meningkat.;The number of unemployment in this country is increasing.;Noun;133
bergabung;join;Setiap orang di sini harus bergabung dalam program pelatihan.;Everyone here must join the training program.;Verb;134
lama;long;Dia sudah tinggal di sini selama 5 tahun.;He has been living here for 5 years.;Adjective;135
pernah;ever;Apakah kamu pernah ke Bali sebelumnya?;Have you ever been to Bali before?;Adverb;136
meningkat;increase;Jumlah penduduk di kota ini sedang meningkat.;The number of population in this city is increasing.;Verb;137
kesempatan;opportunity;Saya sangat berharap bisa mendapat kesempatan kerja di perusahaan ini.;I really hope to get a job opportunity at this company.;Noun;138
lakukan;do;Jangan lakukan hal yang akan merugikanmu.;Don't do things that will harm you.;Verb;139
