"memanggang";"grilling";"Saya suka memanggang daging di rumah."; "I like grilling meat at home."; "verb"
"memarkir";"parking";"Tolong bantu saya memarkir mobil ini."; "Please help me park this car."; "verb"
"memasak";"cooking";"Saya suka memasak untuk keluarga saya."; "I like cooking for my family."; "verb"
"memastikan";"ensuring";"Saya perlu memastikan bahwa pintu sudah terkunci."; "I need to ensure that the door is locked."; "verb"
"mematikan";"turning off";"Jangan lupa mematikan lampu sebelum tidur."; "Don't forget to turn off the lights before sleeping."; "verb"
"membaca";"reading";"Saya sering membaca buku sebelum tidur."; "I often read books before sleeping."; "verb"
"membaca dengan suara";"reading aloud";"Saya tidak suka membaca dengan suara keras."; "I don't like reading aloud."; "verb"
"membakar";"burning";"Jangan membakar kertas di dalam rumah"; "Don't burn papers inside the house."; "verb"
"membatalkan";"canceling";"Saya membatalkan rencana perjalanan saya."; "I'm canceling my travel plans."; "verb"
"membayar";"paying";"Saya perlu membayar tagihan listrik bulan ini."; "I need to pay this month's electricity bill."; "verb"
"membayar pajak";"paying taxes";"Saya harus membayar pajak tahunan saya."; "I have to pay my annual taxes."; "verb"
"membeku";"freezing";"Makanan saya membeku karena saya tidak menutup rapat kotak es."; "My food froze because I didn't close the icebox tightly."; "verb"
"membeli";"buying";"Saya sedang membeli baju baru untuk pernikahan sahabat saya."; "I'm buying a new dress for my friend's wedding."; "verb"
"membelok";"turning";"Saya akan membawa mobil saya dan membantu Anda membelok ke kiri."; "I'll drive my car and help you make a left turn."; "verb"
"membelok di tikungan";"turning on a bend";"Mobil itu hampir menabrak kami ketika membentuk di tikungan."; "The car almost hit us when turning on a bend."; "verb"
"membersihkan";"cleaning";"Saya harus membersihkan kamar mandi sebelum tamu datang."; "I need to clean the bathroom before guests arrive."; "verb"
"membersihkan debu";"dusting";"Saya Membersihkan debu di rumah setiap hari."; "I dust the house every day."; "verb"
"membetulkan";"fixing";"Saya akan membantu Anda membetulkan sepatu Anda."; "I'll help you fix your shoes."; "verb"
"membosankan";"boring";"Rapat itu sangat membosankan, saya hampir tertidur di sana."; "That meeting was so boring I almost fell asleep."; "adjective"
"membuang";"throwing away";"Jangan membuang sampah sembarangan."; "Don't throw trash anywhere."; "verb"
