"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"Fahrenheit";"Fahrenheit";"Suhu di luar sangat panas, mencapai 90 derajat Fahrenheit.";"The temperature outside is very hot, reaching 90 degrees Fahrenheit.";"noun"
"faks";"fax";"Tolong kirimkan dokumen penting ini lewat faksimile.";"Please send this important document via fax.";"noun"
"Februari";"February";"Saya dilahirkan pada tanggal 14 Februari.";"I was born on February 14th.";"noun"
"festival";"festival";"Sekolah saya mengadakan festival tahunan setiap bulan Juli.";"My school holds an annual festival every July.";"noun"
"filem";"film";"Saya suka menonton filem romantis.";"I like watching romantic films.";"noun"
"fisika";"physics";"Fisika adalah cabang ilmu pengetahuan yang mempelajari materi, energi, dan pergerakan mereka.";"Physics is a branch of science that studies matter, energy, and their movements.";"noun"
"flu";"flu";"Saya tidak bisa datang ke kantor karena flu.";"I can't come to the office because of the flu.";"noun"
"formulir pernyataan";"statement form";"Saya perlu mengisi formulir pernyataan sebelum memulai kerja.";"I need to fill out a statement form before starting work.";"noun"
"foto";"photo";"Bisakah Anda mengirimkan foto keluarga Anda?";"Can you send me a photo of your family?";"noun"
"fotografi";"photography";"Saya suka menjelajahi dan memotret alam dengan kamera digital saya.";"I like exploring and taking pictures of nature with my digital camera.";"noun"
"frambos";"raspberry";"Saya memetik frambos segar dari taman belakang.";"I picked fresh raspberries from my backyard garden.";"noun"
"gagak";"crow";"Kita sering melihat gagak di pepohonan di dekat rumah.";"We often see crows in the trees near our house.";"noun"
"gagang telepon";"phone handle";"Gagang telepon rusak, jadi saya harus membeli baru.";"The phone handle is broken, so I have to buy a new one.";"noun"
"gajah";"elephant";"Saya pernah mengunjungi pertunjukan sirkus di mana ada gajah yang tampil.";"I once visited a circus show where elephants performed.";"noun"
"gaji";"salary";"Saya sangat senang dengan kenaikan gaji saya bulan ini.";"I'm very happy with my salary increase this month.";"noun"
"galak";"ferocious";"Sekarang saya merasa tidak nyaman karena anjing tetangga yang sangat galak.";"Now I feel uncomfortable because of the neighbor's ferocious dog.";"adjective"
"gambar";"picture";"Saya melihat gambar pemandangan yang sangat indah di internet.";"I saw a very beautiful landscape picture on the internet.";"noun"
"gandum";"wheat";"Roti tawar yang saya beli dari toko itu menggunakan gandum organik.";"The white bread I bought from that store uses organic wheat.";"noun"
"ganjalan kaki";"footstool";"Kami menggunakan ganjalan kaki di kamarnya supaya lebih nyaman.";"We use a footstool in her room to make it more comfortable.";"noun"
"gantungan baju";"clothes hanger";"Saya memasang gantungan baju di dinding untuk menjaga pakaiannya tetap rapi.";"I hung clothes hangers on the wall to keep her clothes tidy.";"noun"
