"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"kotak-kotak";"checkered boxes";"Saya telah membeli baju baru dengan pola kotak-kotak.";"I have bought a new shirt with a checkered pattern.";"noun"
"kotoran";"dirt";"Anak-anak suka bermain dengan kotoran.";"Children like to play with dirt.";"noun"
"kristal es";"ice crystals";"Saat di pegunungan, kamu bisa melihat kristal es.";"When in the mountains, you can see ice crystals.";"noun"
"kuat";"strong";"Binatang ini sangat kuat dan berbahaya.";"This animal is very strong and dangerous.";"adjective"
"kubis";"cabbage";"Salad kubis dengan saus balsamico adalah menu favorit saya.";"Cabbage salad with balsamic sauce is my favorite menu.";"noun"
"kubus";"cube";"Kita akan membuat kue dalam bentuk kubus.";"We will make a cake in the shape of a cube.";"noun"
"kucing";"cat";"Saya menemukan seekor kucing yang lucu di halaman belakang rumah.";"I found a cute cat in the backyard of my house.";"noun"
"kuda";"horse";"Kuda ini sangat kuat dan cepat.";"This horse is very strong and fast.";"noun"
"kue";"cake";"Kue keju adalah kue favorit saya.";"Cheese cake is my favorite cake.";"noun"
"kuil";"temple";"Kuil ini sangat indah dan terlihat megah.";"This temple is very beautiful and looks majestic.";"noun"
"kuis";"quiz";"Saya suka mengikuti kuis di televisi setiap Sabtu malam.";"I like to participate in quizzes on TV every Saturday night.";"noun"
"kuku kaki";"toenail";"Sebaiknya Anda memotong kuku kaki secara teratur.";"You should regularly cut your toenails.";"noun"
"kumbang";"beetle";"Kumbang ini sangat cantik dengan warna yang cerah.";"This beetle is very beautiful with bright colors.";"noun"
"kumis";"mustache";"Dia memiliki kumis tebal di atas bibirnya.";"He has a thick mustache above his lip.";"noun"
"kunang-kunang";"firefly";"Kunang-kunang terbang di malam hari di taman.";"Fireflies fly at night in the park.";"noun"
"kunci";"key";"Saya kehilangan kunci rumah saya.";"I lost my house key.";"noun"
"kunci elektronik";"electric lock";"Kamar hotel dapat dibuka dengan kunci elektronik.";"Hotel rooms can be opened with an electric lock.";"noun"
"kunci kamar";"room key";"Anda harus memberikan kunci kamar Anda ke petugas hotel saat check-out.";"You have to give your room key to the hotel staff upon check-out.";"noun"
"kuning";"yellow";"Bunga matahari adalah bunga yang berwarna kuning.";"Sunflowers are flowers that are yellow in color.";"adjective"
"kupon";"coupon";"Saya menggunakan kupon diskon untuk membeli sepatu baru.";"I use discount coupons to buy new shoes.";"noun"
