"muatan";"cargo";"Muatan dari kapal seberang akan tiba dua hari lagi.";"The cargo from the opposite ship will arrive in two days.";"noun"

"muda";"young";"Saya senang bekerja dengan para pekerja muda yang energik.";"I enjoy working with young, energetic workers.";"adjective"

"mudah";"easy";"Barang-barang elektronik sekarang lebih mudah didapat daripada sebelumnya.";"Electronic goods are now easier to obtain than ever before.";"adjective"

"muka";"face";"Dia memiliki muka yang cantik.";"She has a beautiful face.";"noun"

"murah";"cheap";"Pakaian bekas yang masih bagus bisa didapatkan dengan harga yang sangat murah di pasar loak.";"Good secondhand clothes can be obtained at very cheap prices in the flea market.";"adjective"

"murid";"student";"Banyak murid di sekolah saya berasal dari keluarga kurang mampu.";"Many students in my school come from less fortunate families.";"noun"

"musik";"music";"Dia sangat menyukai musik klasik.";"He really likes classical music.";"noun"

"musik klasik";"classical music";"Konser musik klasik berlangsung di pusat seni malam ini.";"A classical music concert is taking place at the arts center tonight.";"noun"

"musik pop";"pop music";"Stasiun radio ini sering memutar musik pop dari artis lokal.";"This radio station often plays pop music from local artists.";"noun"

"musik rap";"rap music";"Anak saya sangat suka mendengarkan musik rap.";"My son really likes listening to rap music.";"noun"

"musik rock";"rock music";"Konser musik rock akan digelar di stadion akhir pekan ini.";"A rock music concert will be held at the stadium this weekend.";"noun"

"musim dingin";"winter";"Musim dingin tahun ini sangat dingin dan salju banyak.";"This winter is very cold and snowy.";"noun"

"musim gugur";"autumn";"Saya suka musim gugur karena warna-warni daun yang indah.";"I like autumn because of the beautiful colors of the leaves.";"noun"

"musim panas";"summer";"Di musim panas, suhu bisa mencapai 35 derajat celcius.";"In the summer, temperatures can reach 35 degrees Celsius.";"noun"

"musim semi";"spring";"Musim semi di negara kami selalu sangat indah dengan bunga yang bermekaran.";"Spring in our country is always very beautiful with blooming flowers.";"noun"

"mustar";"mustard";"Saya suka memakan hot dog dengan mustard.";"I like to eat hot dogs with mustard.";"noun"

"nada sibuk";"busy tone";"Saya mencoba menelepon teman saya tetapi hanya mendengar nada sibuk.";"I tried to call my friend but only heard a busy tone.";"noun"

"naik";"go up";"Jumlah pengguna layanan kota naik menjadi 3 juta setiap hari.";"The number of urban service users is going up to 3 million per day.";"verb"

"naik pesawat";"take a flight";"Saya selalu merasa gugup saat naik pesawat terbang.";"I always feel nervous when taking a flight.";"verb"

"nakas";"soak";"Usaha untuk membuka botol yang nakas akhirnya berhasil.";"The effort to open the soaked bottle finally succeeded.";"verb"
