"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"susu";"milk";"Saat sarapan, aku minum segelas susu";"During breakfast, I drink a glass of milk";"noun"
"sutra";"silk";"Gaun pengantinnya terbuat dari sutra";"Her wedding dress was made of silk";"noun"
"sutradara";"director";"Sutradara film ini sudah mendapat penghargaan internasional";"The director of this film has received international awards";"noun"
"swalayan";"supermarket";"Saya belanja di swalayan setiap minggu";"I go grocery shopping at the supermarket every week";"noun"
"syal";"scarf";"Di daerah pegunungan, saya selalu membawa syal";"In the mountainous areas, I always bring a scarf";"noun"
"Sydney";"Sydney";"Kota Sydney di Australia sangat terkenal dengan Opera House-nya";"The city of Sydney in Australia is well-known for its Opera House";"noun"
"Tabasco";"Tabasco";"Sambal tabasco kurang populer di Indonesia";"Tabasco sauce is not very popular in Indonesia";"noun"
"tagihan";"bill";"Tagihan listrik bulan ini lebih tinggi dari bulan lalu";"This month's electricity bill is higher than last month's";"noun"
"tahun";"year";"Tahun ini sudah masuk bulan Agustus";"This year is already in the month of August";"noun"
"tahun ajaran";"academic year";"Tahun ajaran baru dimulai pada bulan Juli";"The new academic year starts in July";"noun"
"taksi";"taxi";"Saya mengambil taksi untuk menuju ke bandara";"I took a taxi to go to the airport";"noun"
"takut";"scared";"Aku sedikit takut naik pesawat terbang";"I'm a little scared of flying";"adjective"
"talenan";"cutting board";"Untuk memotong sayur, saya menggunakan talenan";"To cut vegetables, I use a cutting board";"noun"
"taman";"park";"Anak-anak bermain di taman tersebut";"The children are playing in the park";"noun"
"taman bunga";"flower garden";"Taman bunga ini sangat indah pada musim semi";"This flower garden is very beautiful in the spring";"noun"
"tangga darurat";"emergency stairs";"Di gedung ini terdapat tangga darurat di setiap sudutnya";"There are emergency stairs in every corner of this building";"noun"
"Taoisme";"Taoism";"Taoisme adalah agama penganut kepercayaan dalam konsep Yin dan Yang";"Taoism is a religion that follows the concept of Yin and Yang";"noun"
"tarif";"fare";"Tarif taksi ini cukup murah untuk jarak yang ditempuh";"This taxi fare is quite cheap for the distance traveled";"noun"
"tas";"bag";"Saya membawa tas kecil saat berjalan-jalan";"I bring a small bag when strolling";"noun"
"tas plastik";"plastic bag";"Tolong jangan gunakan tas plastik lagi, karena merusak lingkungan";"Please do not use plastic bags anymore, as they are damaging the environment";"noun"
