"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"keriput";"wrinkles";"Wajahnya yang penuh keriput menunjukkan usia beliau yang lanjut";"Her wrinkled face shows her advanced age";"noun"
"kertas";"paper";"Saya membutuhkan secarik kertas untuk menulis catatan";"I need a sheet of paper to write notes";"noun"
"kesan";"impression";"Saya mendapatkan kesan yang baik dari perusahaan ini";"I get a good impression of this company";"noun"
"keseleo";"sprained";"Dia terlalu keras latihan sampai keseleo";"He exercises too hard that he got sprained";"verb"
"kesepakatan";"agreement";"Pendiri perusahaan telah mencapai kesepakatan dengan investor";"The company founder has reached an agreement with the investor";"noun"
"kesepian";"loneliness";"Dia merasa kesepian setelah ditinggalkan oleh suaminya";"She feels lonely after her husband left her";"noun"
"ketat";"tight";"Celana yang dia kenakan terlalu ketat dan tidak nyaman";"The pants she wears are too tight and uncomfortable";"adjective"
"keterangan";"explanation";"Saya perlu keterangan lebih lanjut tentang produk ini";"I need further explanation about this product";"noun"
"kibor";"keyboard";"Saya akan membeli kibor baru untuk komputer saya";"I will buy a new keyboard for my computer";"noun"
"kijang";"muntjac deer";"Saya baru saja melihat kijang di taman nasional pagi ini";"I just saw a muntjac deer in the national park this morning";"noun"
"kilogram";"kilogram";"Tolong timbang apel ini, berapa kilogram beratnya?";"Please weigh this apple, how many kilograms does it weigh?";"noun"
"kilometer";"kilometer";"Jarak dari rumah ke kantor sejauh 10 kilometer";"The distance from home to the office is 10 kilometers";"noun"
"kimia";"chemistry";"Saya tidak begitu pandai dalam kimia";"I am not so good at chemistry";"noun"
"kipas angin";"fan";"Tolong nyalakan kipas angin karena panas sekali";"Please turn on the fan because it's too hot";"noun"
"kiri";"left";"Belok kiri di lampu merah";"Turn left at the red light";"adverb"
"koala";"koala";"Koala adalah hewan asli Australia";"Koalas are native to Australia";"noun"
"kodok";"frog";"Kodok banyak ditemukan di daerah berawa";"Frogs are commonly found in marshy areas";"noun"
"koki";"cook";"Saya ingin menjadi koki terkenal suatu hari nanti";"I want to become a famous cook someday";"noun"
"koki kepala";"head chef";"Koki kepala baru saja memasak hidangan istimewa untuk tamu";"The head chef just cooked a special dish for the guests";"noun"
"kolam";"pool";"Saya suka berenang di kolam renang";"I like swimming in the pool";"noun"
