"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"sastra";"literature";"Saya belajar sastra di kampus."; "I study literature at the university."; "noun"
"sebal";"annoyed"; "Saya sebal dengan kebisingan di sekitar."; "I am annoyed by the noise around."; "adjective"
"saya tidak suka ini";"I don't like this"; "Saya tidak suka ini rasa buah-buahan."; "I don't like this fruit flavor."; "phrase"
"SD (Sekolah Dasar)"; "elementary school"; "Anak saya bersekolah di SD."; "My child goes to elementary school."; "noun"
"sayur";"vegetable"; "Saya suka makan sayur setiap hari."; "I like to eat vegetables every day."; "noun"
"satu arah"; "one way"; "Jalan ini arahnya satu arah."; "This road is one way."; "noun"
"sapa";"greet"; "Saya suka menyapa tetangga di pagi hari."; "I like to greet my neighbors in the morning."; "verb"
"satu juta"; "one million"; "Harga mobil itu lebih dari satu juta."; "The price of that car is more than one million."; "noun"
"saus sambal"; "sambal sauce"; "Saya suka makan nasi goreng dengan saus sambal."; "I like to eat fried rice with sambal sauce."; "noun"
"saraung tangan sekali pakai";"disposable gloves"; "Petugas kesehatan menggunakan sarung tangan sekali pakai."; "Health workers use disposable gloves."; "noun"
"satu milyar"; "one billion"; "Harga rumah itu lebih dari satu milyar."; "The price of that house is more than one billion."; "noun"
"Saya suka ini"; "I like this"; "Saya suka ini warnanya sangat cantik."; "I like this, the color is very beautiful."; "phrase"
"saus tomat"; "tomato sauce"; "Saya suka makan spaghetti dengan saus tomat."; "I like to eat spaghetti with tomato sauce."; "noun"
"saya(nama)"; "I (name)"; "Saya Rina sedang belajar bahasa Inggris."; "I, Rina, am studying English."; "pronoun"
"sapi"; "cow"; "Peternak memelihara sapi di ladangnya."; "Farmers raise cows in their fields."; "noun"
"satu trilyun"; "one trillion"; "Harga saham itu lebih dari satu trilyun rupiah."; "The price of that stock is more than one trillion rupiah."; "noun"
"sarung tangan"; "gloves"; "Saya memakai sarung tangan untuk membersihkan rumah."; "I wear gloves to clean the house."; "noun"
"saya mau (kata kerja)"; "I want to (verb)"; "Saya mau mengajukan izin untuk liburan."; "I want to request leave for a vacation."; "phrase"
"saya tidak mengerti"; "I don't understand"; "Saya tidak mengerti bahasa Jepang."; "I don't understand Japanese."; "phrase"
"saus"; "sauce"; "Saya suka makan steak dengan saus gravy."; "I like to eat steak with gravy sauce."; "noun"
