"batu";"rock";"Aku menemukan batu besar di pantai";"I found a big rock on the beach";"noun"
"batubara";"coal";"Indonesia adalah eksportir batubara terbesar di dunia";"Indonesia is the largest exporter of coal in the world";"noun"
"batuk";"cough";"Tolong berikan obat untuk batukku";"Please give me medicine for my cough";"noun"
"bawahan";"subordinate";"Dia memiliki banyak bawahan yang sangat berbakat";"He has many talented subordinates";"noun"
"bawang bombay";"onion";"Tolong tambahkan bawang bombay ke dalam sup";"Please add onion to the soup";"noun"
"bawang putih";"garlic";"Bawang putih membantu meningkatkan sistem kekebalan tubuh";"Garlic helps boost the immune system";"noun"
"bayam";"spinach";"Bayam mengandung banyak vitamin dan mineral";"Spinach contains many vitamins and minerals";"noun"
"bayi";"baby";"Bayi itu sangat lucu dan menggemaskan";"The baby is very cute and adorable";"noun"
"bayi yang baru lahir";"newborn baby";"Saya baru saja melahirkan bayi yang sehat";"I have just given birth to a healthy newborn baby";"noun"
"bea cukai";"customs duty";"Kami harus membayar bea cukai saat memasukkan barang dari luar negeri";"We have to pay customs duty when importing goods from abroad";"noun"
"bebas bea";"duty-free";"Toko-toko di bandara menjual barang bebas bea";"Stores in the airport sell duty-free goods";"adjective"
"bebas pajak";"tax-free";"Toko ini menjual barang bebas pajak";"This store sells tax-free goods";"adjective"
"bebas rokok";"smoke-free";"Taman ini adalah taman bebas rokok";"This park is a smoke-free park";"adjective"
"bebek";"duck";"Bebek panggang adalah salah satu hidangan khas Bali";"Roast duck is one of Bali's signature dishes";"noun"
"beha";"bra";"Saya perlu membeli beha baru";"I need to buy a new bra";"noun"
"beige";"beige";"Rumah ini dicat dengan warna beige yang sangat indah";"This house is painted with a very beautiful beige color";"adjective"
"Beijing";"Beijing";"Saya ingin berkunjung ke Beijing tahun depan";"I want to visit Beijing next year";"noun"
"bekerja";"work";"Saya sangat menikmati bekerja di perusahaan ini";"I really enjoy working in this company";"verb"
"belajar";"learn";"Saya sedang belajar bahasa Mandarin";"I am currently learning Mandarin";"verb"
"belanga";"pot";"Saya perlu membeli belanga baru untuk memasak";"I need to buy a new pot for cooking";"noun"
