"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"tempat tidur ganda";"double bed";"Saya butuh membeli tempat tidur ganda untuk kamar tidur saya."; "I need to buy a double bed for my bedroom.";"noun, noun, adjective"
"tempat tidur tunggal";"single bed";"Anak saya memiliki tempat tidur tunggal yang nyaman."; "My child has a comfortable single bed.";"noun, adjective"
"tempurung lutut";"knee cap";"Dokter mengatakan saya harus memakai pelindung tempurung lutut saat berolahraga."; "The doctor said I have to wear a knee cap protector while exercising.";"noun"
"tenaga kerja";"workforce";"Perusahaan itu memiliki banyak tenaga kerja yang terlatih."; "The company has a lot of trained workforce.";"noun, noun"
"tenang";"calm";"Saya harus tetap tenang menghadapi situasi sulit."; "I have to stay calm in difficult situations.";"adjective, verb"
"tendon Achilles";"Achilles tendon";"Olahraga berlebihan dapat menyebabkan cedera pada tendon Achilles."; "Excessive exercise can cause injury to the Achilles tendon.";"noun"
"tengah hari";"midday";"Saya biasanya makan siang sekitar tengah hari."; "I usually have lunch around midday.";"noun"
"tengah malam";"midnight";"Dia sering bekerja hingga tengah malam."; "He often works until midnight.";"noun"
"tenis";"tennis";"Saya menikmati bermain tenis dengan teman-teman saya."; "I enjoy playing tennis with my friends.";"noun"
"tenis meja";"table tennis";"Keluarga saya sering bermain tenis meja di ruang keluarga."; "My family often plays table tennis in the living room.";"noun, noun"
"tensoplas";"plastic wrap";"Saya memakai tensoplas untuk menjaga makanan tetap segar."; "I use plastic wrap to keep food fresh.";"noun"
"tepi laut";"seashore";"Saat liburan, saya suka berjalan-jalan di tepi laut."; "On vacation, I like to take walks on the seashore.";"noun, noun"
"tepung";"flour";"Saya membutuhkan tepung untuk membuat kue."; "I need flour to make a cake.";"noun"
"terang";"bright";"Lampu di kamar itu sangat terang."; "The lamp in the room is very bright.";"adjective"
"Terima kasih";"Thank you";"Terima kasih telah membantu saya dengan ini."; "Thank you for helping me with this.";"interjection"
"terlambat";"late";"Jangan terlambat datang ke acara itu."; "Don't be late for the event.";"adjective"
"terminal";"terminal";"Saya harus pergi ke terminal untuk menaiki bus."; "I have to go to the bus terminal.";"noun"
"termometer";"thermometer";"Saya membutuhkan termometer untuk mengukur suhu tubuh saya."; "I need a thermometer to measure my body temperature.";"noun"
"terong";"eggplant";"Saya suka membuat semur terong di rumah."; "I like to make eggplant stew at home.";"noun"
"tertarik";"interested";"Saya sangat tertarik dengan penawaran pekerjaan itu."; "I am very interested in the job offer.";"verb, adjective"
