"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"menggambar";"to draw";"Saya sedang menggambar di ruang seni."; "I am drawing in the art room."; "verb"
"mengikuti ujian";"to take an exam";"Nadia harus mengikuti ujian bahasa Inggris besok."; "Nadia has to take an English exam tomorrow."; "verb"
"menghapus";"to erase";"Saya perlu menghapus kotak untuk menempatkan gambar di sana."; "I need to erase the box to place the picture there."; "verb"
"menghadiri kuliah";"to attend lectures";"Pak Budi menghadiri kuliah sejarah setiap Selasa dan Kamis."; "Mr. Budi attends history lectures every Tuesday and Thursday."; "verb"
"mengerjakan";"to work on";"Saya sedang mengerjakan tugas matematika di kantor."; "I am working on math homework in the office."; "verb"
"menggambar";"to draw";"Saya akan menggambar seekor kucing di kertas."; "I will draw a cat on the paper."; "verb"
"menggantung";"to hang";"Saya menemukan kait untuk menggantung baju saya."; "I found a hook to hang my clothes."; "verb"
"menggali";"to dig";"Kami akan pergi ke perkebunan untuk menggali tanah untuk menanam sayuran."; "We will go to the farm to dig the soil for planting vegetables."; "verb"
"mengirim";"to send";"Kami sedang mengirim kiriman ke keluarga di luar kota."; "We are sending a package to our family out of town."; "verb"
"mengetuk";"to knock";"Tolong buka pintunya untuk saya, saya tidak dapat mengetuk pada pintu itu."; "Please open the door for me, I cannot knock on that door."; "verb"
"mengeringkan";"to dry";"Saya harus mengeringkan baju saya sebelum pergi ke kantor."; "I have to dry my clothes before going to the office."; "verb"
"menghadiri kelas";"to attend classes";"Lina terlambat menghadiri kelas Inggrisnya pada hari Minggu."; "Lina was late to attend her English class on Sunday."; "verb"
"menggelengkan kepala";"to shake one's head";"Saya tidak setuju, jadi saya menggelengkan kepala."; "I disagree, so I shake my head."; "verb"
"menghormati";"to respect";"Keluarga saya menghormati tetangga kami di apartemen."; "My family respects our neighbor in the apartment."; "verb"
"mengimpor";"to import";"Perusahaan ini sering mengimpor barang dari luar negeri."; "This company often imports goods from overseas."; "verb"
"menghadiri";"to attend";"Pak Jamal akan menghadiri konferensi di Jakarta besok."; "Mr. Jamal will attend a conference in Jakarta tomorrow."; "verb"
"menggoreng";"to fry";"Saya akan menggoreng kentang goreng untuk makan malam hari ini."; "I will fry the French fries for dinner tonight."; "verb"
"menghabiskan uang";"to spend money";"Anak saya suka menghabiskan uang untuk membeli mainan baru."; "My child likes to spend money to buy new toys."; "verb"
"menggarisbawahi";"to underline";"Saya akan menggarisbawahi kata kunci di artikel ini."; "I will underline the keywords in this article."; "verb"
"menginginkan";"to want";"Saya sangat menginginkan es krim."; "I really want ice cream."; "verb"
