"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"halaman belakang";"backyard";"Kucing saya suka bermain di halaman belakang.";My cat likes to play in the backyard.;"Noun"
"halte bis";"bus stop";"Tolong turun di halte bis yang berikutnya.";Please get off at the next bus stop.;"Noun"
"harimau";"tiger";"Harimau itu sangat ganas.";The tiger is very aggressive.;"Noun"
"hasil produksi";"production result";"Hasil produksi meningkat sebesar 10%.";The production result has increased by 10%.;"Noun"
"hidangan utama";"main course";"Saya memesan hidangan utama sapi panggang.";I ordered the main course of roasted beef.;"Noun"
"hidangan pembuka";"appetizer";"Kita akan memiliki hidangan pembuka salad kaleng.";We're going to have canned salad as an appetizer.;"Noun"
"hidangan penutup";"dessert";"Pemanis menyediakan hidangan penutup yang lezat.";The pastry chef provides delicious desserts.;"Noun"
"hangat";"warm";"Tolong berikan saya air hangat.";Please give me warm water.;"Adjective"
"harga";"price";"Harga mobil bekas itu terlalu mahal.";The price of the used car is too high.;"Noun"
"hidangan berturutan";"sequence of dishes";"Makan malam akan disajikan dengan hidangan berturutan.";Dinner will be served with a sequence of dishes.;"Noun"
"halus";"smooth";"Hebat, permukaan cat itu halus sekali!";Great, the paint surface is very smooth!;"Adjective"
"harmonika";"harmonica";"Dia mengambil harmonika dan mulai memainkan musik country.";He took the harmonica and started playing country music.;"Noun"
"haus";"thirsty";"Saya tidak suka merasa haus, tapi saya perlu minum air.";I don't like feeling thirsty, but I need to drink water.;"Adjective"
"handuk";"towel";"Tolong berikan saya handuk yang bersih.";Please give me a clean towel.;"Noun"
"hamberger";"hamburger";"Saya memesan hamburger keju.";I ordered a cheeseburger.;"Noun"
"hamburger";"hamburger";"Saya memesan hamburger keju.";I ordered a cheeseburger.;"Noun"
"helikopter";"helicopter";"Helikopter itu terbang sangat tinggi.";The helicopter flew very high.;"Noun"
"hidangan";"dish";"Kami memutuskan untuk membuat hidangan kari ikan.";We decided to make fish curry as a dish.;"Noun"
"hai!";"hi!";"Hai! Apa kabar?";Hi! How are you?;"Interjection"
"hamster";"hamster";"Pakai sarung tangan saat merawat hamster.";Wear gloves when taking care of a hamster.;"Noun"
