"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"makan malam";"dinner";"Saya akan pergi makan malam dengan teman."; "I will go for dinner with friends."; "noun, noun"
"makan sepuasnya";"all-you-can-eat";"Di restoran itu, kita bisa makan sepuasnya."; "In that restaurant, we can eat all we want."; "noun, noun"
"makan siang";"lunch";"Saya tidak sempat makan siang karena pekerjaan."; "I didn't have time for lunch because of work."; "noun, noun"
"makanan barat";"western food";"Saya lebih suka makanan barat daripada makanan Asia."; "I prefer western food over Asian food."; "noun, noun"
"make up";"makeup";"Saya tidak pakai make up hari ini."; "I didn't wear makeup today."; "noun"
"malam";"night";"Saya suka jalan-jalan di malam hari."; "I like to walk at night."; "noun"
"mabuk terbang";"flying drunk";"Jangan mabuk terbang ya, nanti bahaya."; "Don't fly drunk, it's dangerous."; "verb, adjective"
"Mahal";"expensive";"Tiket pesawat sangat mahal di hari libur."; "Airplane tickets are very expensive on holidays."; "adjective"
"mall";"shopping mall";"Biasanya saya pergi ke mall saat weekend."; "I usually go to the mall on weekends."; "noun"
"malu";"embarrassed";"Saya malu ketika salah bicara di depan banyak orang."; "I feel embarrassed when I speak wrongly in front of many people."; "adjective"
"majalah";"magazine";"Saya sering membaca majalah tentang fashion."; "I often read magazines about fashion."; "noun"
"makanan cepat saji";"fast food";"Tidak sehat makanan cepat saji."; "Fast food is unhealthy."; "noun, adjective"
"makanan etnik";"ethnic food";"Saya suka mencoba makanan etnik ketika berwisata."; "I like to try ethnic food when traveling."; "noun, adjective"
"makanan Itali";"Italian food";"Pizza adalah salah satu makanan Itali yang terkenal."; "Pizza is one of the famous Italian foods."; "noun, adjective"
"makanan laut";"seafood";"Saya alergi terhadap makanan laut."; "I am allergic to seafood."; "noun"
"makanan ringan";"snack";"Saya biasanya ngemil makanan ringan saat nonton TV."; "I usually snack on snacks when watching TV."; "noun, adjective"
"makanan Cina";"Chinese food";"Saya suka makanan Cina, terutama dim sum."; "I like Chinese food, especially dim sum."; "noun, adjective"
"malam hari";"evening";"Biasanya saya tidur lebih awal di malam hari."; "I usually sleep early in the evening."; "noun"
"mana";"where";"Mana benda yang kamu cari itu?"; "Where is the thing you're searching for?"; "pronoun, adverb"
