"perban";"bandage";"Dia membeli perban untuk mengikat luka di kakinya";"He bought a bandage to tie the wound on his foot";"Noun"
"perbedaan waktu";"time difference";"Perbedaan waktu antara kota ini dan kota lainnya adalah 2 jam";"The time difference between this city and other cities is 2 hours";"Noun"
"percetakan";"printing press";"Dia bekerja di percetakan terbesar di kota ini";"He works in the largest printing press in this city";"Noun"
"pergelangan kaki";"ankle";"Dia mengalami cedera di pergelangan kakinya selama berolahraga";"He got injured in his ankle while exercising";"Noun"
"pergelangan tangan";"wrist";"Dia mengikat gelang di pergelangan tangannya";"He wore a bracelet on his wrist";"Noun"
"pergi melihat-lihat";"go sightseeing";"Kami akan pergi melihat-lihat di kota ini selama akhir pekan";"We will go sightseeing in this city during the weekend";"Verb"
"perjalanan bisnis";"business trip";"Dia melakukan perjalanan bisnis ke luar negeri selama seminggu";"He went on a business trip abroad for a week";"Noun"
"permen";"candy";"Dia suka makan permen saat sedang menonton TV";"He likes to eat candy while watching TV";"Noun"
"permintaan";"demand";"Permintaan untuk produk baru kami meningkat dalam beberapa bulan terakhir";"The demand for our new product has increased in the last few months";"Noun"
"Permisi";"excuse me";"Permisi, bisakah Anda membantu saya menemukan alamat ini?";"Excuse me, can you help me find this address?";"Interjection"
"pernikahan";"wedding";"Dia akan menghadiri pernikahan sepupunya akhir bulan ini";"He will attend his cousin's wedding at the end of this month";"Noun"
"peron";"platform";"Dia menunggu di peron untuk menaiki kereta api ke kota lain";"He waited on the platform to board a train to another city";"Noun"
"perona pipi";"blush";"Dia merasa malu dan perona pipi muncul di wajahnya";"He felt embarrassed and blushed on his face";"Noun"
"perpustakaan";"library";"Dia senang mengunjungi perpustakaan setiap minggu untuk membaca buku-buku baru";"He enjoys visiting the library every week to read new books";"Noun"
"persegi";"square";"Rumah mereka memiliki halaman berbentuk persegi";"Their house has a square-shaped yard";"Noun"
"persik";"peach";"Dia memetik buah persik di kebunnya untuk dimakan bersama keluarganya";"He picked peaches from his garden to eat with his family";"Noun"
"persimpangan";"intersection";"Ada kecelakaan mobil di persimpangan jalan ini";"There was a car accident at this intersection";"Noun"
"persimpangan jalan";"street intersection";"Dia menyeberangi persimpangan jalan dengan hati-hati";"He crossed the street intersection carefully";"Noun"
"pertandingan";"match";"Pertandingan sepakbola antara tim nasional ini dan tim lainnya akan dimainkan besok";"The football match between this national team and another team will be played tomorrow";"Noun"
"pertandingan kejuaraan";"championship match";"Dia berhasil memenangkan pertandingan kejuaraan untuk kategori lari jarak jauh";"He successfully won the championship match for long-distance running category";"Noun"
