"tikar";"mat";"Saya suka tidur di tikar.";"I like sleeping on a mat.";"Noun"
"tiket";"ticket";"Saya membeli tiket kereta api.";"I bought a train ticket.";"Noun"
"tiket pesawat";"plane ticket";"Mischa membeli tiket pesawat ke Jepang.";"Mischa bought a plane ticket to Japan.";"Noun"
"tikus";"mouse";"Tikus itu lari sangat cepat.";"That mouse runs very fast.";"Noun"
"tim";"team";"Tim sepakbola saya menang.";"My soccer team won.";"Noun"
"timbangan datar";"weighing scale";"Saya menimbang garam dengan timbangan datar.";"I weigh salt with a weighing scale.";"Noun"
"timur";"east";"Matahari terbit dari arah timur.";"The sun rises from the east.";"Noun"
"Tinggal di mana?";"Where do you live?";"Tinggal di mana kamu sekarang?";"Where do you live now?";"Phrase"
"tinju";"boxing";"Saya suka menonton tinju di televisi.";"I like watching boxing on TV.";"Noun"
"tirai";"curtain";"Saya memasang tirai di jendela.";"I put curtains on the windows.";"Noun"
"tisu";"tissue";"Saya butuh tisu untuk membersihkan hidung.";"I need a tissue to clean my nose.";"Noun"
"tisu gulung";"toilet paper";"Tisu gulung sudah habis di kamar mandi.";"The toilet paper is all used up in the bathroom.";"Noun"
"toko";"shop";"Saya pergi ke toko untuk membeli barang.";"I go to the shop to buy things.";"Noun"
"toko baju";"clothing store";"Toko baju ini menjual pakaian berkualitas baik.";"This clothing store sells high-quality clothing.";"Noun"
"toko perhiasan";"jewelry store";"Saya membeli cincin di toko perhiasan ini.";"I bought a ring at this jewelry store.";"Noun"
"toko roti";"bakery";"Toko roti ini menjual roti yang sangat enak.";"This bakery sells very delicious bread.";"Noun"
"toko sepatu";"shoe store";"Saya membeli sepatu di toko sepatu baru.";"I bought shoes at the new shoe store.";"Noun"
"toko serba ada";"convenience store";"Toko serba ada ini menjual berbagai macam kebutuhan sehari-hari.";"This convenience store sells various daily necessities.";"Noun"
"Tokyo";"Tokyo";"Saya ingin pergi ke Tokyo suatu hari nanti.";"I want to go to Tokyo someday.";"Noun"
"Tolong";"Please";"Tolong bantu saya mengangkat barang ini.";"Please help me lift this thing.";"Adverb"
