"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"warung internet";"internet cafe";"Saya ingin bekerja di warung internet.";"I want to work at the internet cafe.";"noun noun"
"Washington DC";"Washington DC";"Saya ingin pergi ke Washington DC pada liburan musim panas.";"I want to go to Washington DC on summer vacation.";"proper noun proper noun"
"wastafel";"sink";"Saya harus mencuci tangan di wastafel sebelum makan.";"I need to wash my hands at the sink before eating.";"noun"
"WC";"toilet";"Tolong tunjukkan ke mana jalan ke WC.";"Please show me the way to the toilet.";"noun"
"weker";"alarm clock";"Saya butuh weker untuk bangun pagi.";"I need an alarm clock to wake up early.";"noun"
"wifi";"wifi";"Di mana saya bisa mendapatkan koneksi wifi gratis?";"Where can I get free wifi connection?";"noun"
"wiraswasta";"entrepreneur";"Keberhasilan wiraswasta tergantung pada kerja keras dan dedikasi.";"The success of an entrepreneur depends on hard work and dedication.";"noun"
"wisatawan";"tourist";"Saya bertemu banyak wisatawan di pantai selama liburan.";"I met many tourists at the beach during vacation.";"noun"
"wiski";"whiskey";"Saya tidak suka minuman beralkohol, termasuk wiski.";"I don't like alcoholic drinks, including whiskey.";"noun"
"wol";"wool";"Baju ini terbuat dari wol dan dirancang untuk cuaca dingin.";"This coat is made of wool and designed for cold weather.";"noun"
"wombat";"wombat";"Wombat adalah hewan marsupial asli Australia.";"Wombat is a native Australian marsupial animal.";"noun"
"wortel";"carrot";"Saya suka makan wortel mentah sebagai camilan.";"I like to eat raw carrots as a snack.";"noun"
"Yahoo";"Yahoo";"Yahoo adalah mesin pencari favorit saya.";"Yahoo is my favorite search engine.";"proper noun"
"yang kalah";"the loser";"Saya merasa kasihan pada yang kalah di turnamen tenis itu.";"I feel sorry for the loser in the tennis tournament.";"noun noun"
"yang kedelapan";"the eighth";"Angka yang kedelapan dari urutan bilangan bulat adalah 8.";"The eighth number in the sequence of integers is 8.";"noun ordinal"
"yang kedua";"the second";"Buah yang kedua di atas meja adalah apel.";"The second fruit on the table is an apple.";"noun ordinal"
"yang keempat";"the fourth";"Pemain yang keempat di tim basket adalah saudara perempuan saya.";"The fourth player on the basketball team is my sister.";"noun ordinal"
"yang keenam";"the sixth";"Guru matematika saya sering memberikan soal sulit di urutan yang keenam.";"My math teacher often gives difficult problems in the sixth order.";"noun ordinal"
"yang kelima";"the fifth";"Pada yang kelima dari daftar item belanja, ada roti.";"On the fifth item of the shopping list, there is bread.";"noun ordinal"
"yang kesembilan";"the ninth";"Anak yang kesembilan di keluarga itu memiliki bakat di seni lukis.";"The ninth child in that family has talent in painting.";"noun ordinal"
