"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"besar";"big";"Kucing saya sangat besar.";"My cat is very big.";"adjective"
"betis";"calf";"Olahraga yang bagus untuk menguatkan betis adalah lari.";"Running is a good exercise for strengthening the calves.";"noun"
"bibir";"lips";"Warna bibirnya sangat cantik.";"Her lip color is very beautiful.";"noun"
"biji";"seed";"Saya menemukan biji strawberry di dalam jus saya.";"I found a strawberry seed in my juice.";"noun"
"bingkisan";"gift";"Ibu memberikan bingkisan kepada saya pada hari ulang tahun saya.";"Mom gave me a gift on my birthday.";"noun"
"bintang";"star";"Banyak orang bermimpi menjadi bintang di industri hiburan.";"Many people dream of becoming a star in the entertainment industry.";"noun"
"bintik";"spot";"Baju saya terkena bintik-bintik.";"My shirt has spots on it.";"noun"
"biola";"violin";"Saya belajar bermain biola selama 5 tahun.";"I learned to play the violin for 5 years.";"noun"
"biologi";"biology";"Saya suka mempelajari biologi di sekolah.";"I like to study biology in school.";"noun"
"bioskop";"cinema";"Saya pergi ke bioskop bersama teman-teman saya hari ini.";"I went to the cinema with my friends today.";"noun"
"bir";"beer";"Saya tidak suka minum bir.";"I don't like to drink beer.";"noun"
"biro perjalanan";"travel agency";"Saya memesan paket liburan di biro perjalanan yang terdekat.";"I booked a holiday package at the nearest travel agency.";"noun"
"biru";"blue";"Saya suka warna biru.";"I like the color blue.";"adjective"
"bis";"bus";"Saya naik bis ke kota setiap hari.";"I ride the bus to the city every day.";"noun"
"bis wisata";"tour bus";"Saya menyewa bis wisata untuk perjalanan di luar kota.";"I rented a tour bus for a trip outside the city.";"noun"
"bisbol";"baseball";"Bisbol adalah olahraga yang populer di Amerika Serikat.";"Baseball is a popular sport in the United States.";"noun"
"blog";"blog";"Saya menulis blog tentang perjalanan saya ke luar negeri.";"I write a blog about my travel abroad.";"noun"
"blueberry";"blueberry";"Saya suka makan blueberry pada pagi hari.";"I like to eat blueberries in the morning.";"noun"
"blus";"blouse";"Saya membeli blus baru untuk acara pernikahan.";"I bought a new blouse for a wedding event.";"noun"
"bola basket";"basketball";"Saya bermain bola basket setiap minggu dengan teman-teman saya.";"I play basketball every week with my friends.";"noun"
