"Jepang";"Japan";"Saya ingin pergi ke Jepang pada Juli mendatang";"I want to go to Japan next July";"Noun, Proper"
"jerapah";"giraffe";"Di kebun binatang, saya melihat jerapah dan mereka sangat tinggi";"In the zoo, I saw giraffes and they were really tall";"Noun, Common"
"jerawat";"acne";"Saya mencoba banyak perawatan kulit untuk menghilangkan jerawat di wajah saya";"I tried many skin treatments to get rid of acne on my face";"Noun, Common"
"jerawatan";"pimpled";"Kulitnya jerawatan karena sering terkena sinar matahari";"Her face is pimpled because she is often exposed to the sun";"Adjective"
"jeruk";"tangerine";"Saya membeli beberapa jeruk dari pasar untuk membuat jus pagi ini";"I bought some tangerines from the market to make juice this morning";"Noun, Common"
"jeruk bali";"Bali orange";"Jeruk Bali selalu merupakan pilihan yang baik selama musim panas";"Bali oranges are always a good choice during summer";"Noun, Proper"
"jeruk limun";"lemon";"Anda dapat menambahkan sedikit jeruk limun ke dalam air mineral agar lebih segar";"You can add some lemon to your mineral water to make it fresher";"Noun, Common"
"jongkok";"squat";"Saya sering melakukan senam dengan jongkok untuk melatih otot paha saya";"I often do squats in exercise to train my thigh muscles";"Verb"
"juara";"champion";"Dia menjadi juara pertama pada lomba lari marathon kemarin";"He became the first champion in the marathon race yesterday";"Noun, Common"
"Juli";"July";"Bulan Juli selalu menjadi momen yang dinanti untuk liburan musim panas";"July is always an anticipated moment for summer vacation";"Noun, Proper"
"Jumat";"Friday";"Saya selalu menonton film pada Jumat malam bersama keluarga saya";"I always watch movies on Friday night with my family";"Noun, Proper"
"Juni";"June";"Bulan Juni adalah bulan kelahiran saya";"June is my birth month";"Noun, Proper"
"juru bahasa";"interpreter";"Seorang juru bahasa akan membantu Anda untuk berkomunikasi dengan orang asing";"An interpreter will help you to communicate with foreigners";"Noun, Common"
"jurusan";"major";"Dia memilih jurusan psikologi karena menyukai perilaku manusia";"She chose psychology major because she likes human behavior";"Noun, Common"
"jus";"juice";"Jus buah segar sangat menyegarkan pada hari yang panas";"Fresh fruit juice is very refreshing on a hot day";"Noun, Common"
"jus buah";"fruit juice";"Jus buah campuran adalah minuman favorit saya";"Mixed fruit juice is my favorite drink";"Noun, Common"
"kabin pesawat";"aircraft cabin";"Saya merasa nyaman dalam kabin pesawat selama penerbangan panjang";"I feel comfortable in the aircraft cabin during long flights";"Noun, Common"
"kabut";"fog";"Pagi tadi tidak sedikit kabut di sekitar gedung kantor";"This morning there was quite a fog around the office building";"Noun, Common"
"kacamata";"glasses";"Saya perlu membeli kacamata baru karena kacamatanya rusak";"I need to buy new glasses because my current ones are broken";"Noun, Common"
"kacamata hitam";"sunglasses";"Saya selalu membawa kacamata hitam saat berpergian ke tempat yang bersuhu tinggi";"I always bring sunglasses when traveling to high-temperature areas";"Noun, Common"
