"selotip";"tape";"Tolong berikan saya selotip itu";"Please give me that tape";"noun"
"seluncur es";"ice slide";"Anak-anak senang bermain seluncur es pada musim dingin";"Children enjoy playing on the ice slide in winter";"noun"
"semak belukar";"bushes";"Saya melihat semak belukar itu di kejauhan";"I saw those bushes in the distance";"noun"
"semangka";"watermelon";"Saya akan membeli setengah keping semangka untuk sarapan";"I will buy half a watermelon for breakfast";"noun"
"sembilan";"nine";"Dia berusia sembilan tahun";"She is nine years old";"numeral"
"sembilan belas";"nineteen";"Dia lahir pada tanggal sembilan belas bulan September";"She was born on September nineteenth";"numeral"
"sembilan puluh sembilan";"ninety-nine";"Itu harganya sembilan puluh sembilan ribu";"That costs ninety-nine thousand";"numeral"
"sembilan ratus";"nine hundred";"Jumlah penduduk kota itu hampir mencapai sembilan ratus ribu jiwa";"The population of the city is almost nine hundred thousand";"numeral"
"sembilan ratus sembilan puluh sembilan";"nine hundred ninety-nine";"Ada sembilan ratus sembilan puluh sembilan pengunjung yang datang ke festival ini";"Nine hundred ninety-nine visitors came to this festival";"numeral"
"sembilan ribu";"nine thousand";"Motor saya dibeli dengan harga sembilan ribu dolar";"My motorbike was purchased for nine thousand dollars";"numeral"
"semen";"cement";"Saya perlu membeli semen untuk memperbaiki jalan setapak";"I need to buy cement to repair the footpath";"noun"
"semi final";"semi final";"Tim sepak bola negara itu maju ke babak semi final turnamen dunia";"The national football team advanced to the semi-final round of the world tournament";"noun"
"sempit";"narrow";"Jalan di pedesaan cukup sempit";"The roads in the countryside are quite narrow";"adjective"
"semut";"ant";"Saya lihat semut yang mengejar makanan di sana";"I see ants chasing food over there";"noun"
"senam";"gymnastics";"Senam dapat membantu meningkatkan kebugaran fisik Anda";"Gymnastics can help improve your physical fitness";"noun"
"Senang bertemu dengan anda";"Nice to meet you";"Senang bertemu dengan Anda, apa kabar?";"Nice to meet you, how are you?";"greeting"
"sendal";"slippers";"Saat tidur, saya suka menggunakan sendal yang nyaman";"When I sleep, I like to wear comfortable slippers";"noun"
"sendok";"spoon";"Saya membutuhkan sendok untuk makan nasi";"I need a spoon to eat rice";"noun"
"seni";"art";"Dia sangat suka menggambar dan melukis sehingga dia memilih jurusan seni rupa di sekolah seni";"She loves drawing and painting so much that she chose a fine arts major in art school";"noun"
"seni bela diri";"martial arts";"Dia selalu bermimpi menjadi ahli seni bela diri";"He always dreamed of becoming a martial arts master";"noun"
