"Words in Indonesian";"Words in English";"Sentence in Indonesian using the words";"English Translation";"Part of Speech of the words"
"kurang cocok dengan";"not suitable for";"Baju ini kurang cocok dengan celana yang saya kenakan";"This shirt is not suitable for the pants I am wearing";"Phrase"
"kurang lima belas";"less than fifteen";"Saya hanya memiliki kurang lima belas menit sebelum pertemuan penting";"I only have less than fifteen minutes before the important meeting";"Phrase"
"kursi";"chair";"Silakan duduk di kursi yang tersedia";"Please sit on the available chair";"Noun"
"kursi dekat jendela";"chair near the window";"Saya selalu memilih kursi dekat jendela saat naik pesawat";"I always choose the chair near the window when flying";"Noun"
"kursi di lorong";"aisle seat";"Saya lebih suka duduk di kursi di lorong karena mudah untuk pergi ke toilet";"I prefer to sit on the aisle seat because it's easy to go to the toilet";"Noun"
"kursi goyang";"rocking chair";"Ibu saya menyukai kursi goyang di teras rumah";"My mother likes the rocking chair on the terrace";"Noun"
"kursi penyandang cacat";"wheelchair";"Pusat perbelanjaan memiliki kursi penyandang cacat untuk difabel";"The shopping mall provides wheelchair for disabled people";"Noun"
"kurus";"thin";"Dia terlihat kurus setelah sakit";"He looks thin after he was sick";"Adjective"
"kuteks";"nail polish";"Dia membeli kuteks warna pink untuk menghias kuku";"She bought pink nail polish to decorate her nails";"Noun"
"kutu busuk";"stink bug";"Rumah kami penuh dengan kutu busuk pada musim hujan";"Our house is full of stink bugs during rainy season";"Noun"
"laba-laba";"spider";"Saya takut dengan laba-laba besar di sudut ruangan";"I'm afraid of the big spider in the corner of the room";"Noun"
"laci pakaian";"clothes drawer";"Saya menaruh semua bajuku di laci pakaian ini";"I put all my clothes in this clothes drawer";"Noun"
"lalat";"fly";"Lalat itu mengganggu saat makan di restoran";"The fly was annoying while eating at the restaurant";"Noun"
"lampu";"lamp";"Sudah malam, tolong nyalakan lampu";"It's already night, please turn on the lamp";"Noun"
"lampu lalu lintas";"traffic light";"Ikuti lampu lalu lintas saat menyebrang jalan";"Follow the traffic light when crossing the street";"Noun"
"lampu merah";"red light";"Jangan lewat saat lampu merah menyala";"Don't pass when the red light is on";"Noun"
"landak laut";"sea urchin";"Landak laut adalah hewan laut yang memiliki banyak duri";"Sea urchin is a marine animal that has many spines";"Noun"
"langit";"sky";"Langit biru di musim panas sangat indah";"The blue sky in summer is very beautiful";"Noun"
"langit cerah";"clear sky";"Kami akan berangkat hiking jika langit cerah besok";"We will go hiking if the sky is clear tomorrow";"Noun"
"langsing";"slim";"Dia terlihat sangat langsing setelah diet";"She looks very slim after the diet";"Adjective"
