"ruang belajar";"study room";"Aku senang belajar di ruang belajar."; "I enjoy studying in the study room."; Noun, Noun
"ruang duduk";"sitting room";"Tamu-tamu bisa menunggu di ruang duduk."; "Guests can wait in the sitting room."; Noun, Noun
"ruang gawat darurat";"emergency room";"Jika kamu merasa sakit, kamu harus pergi ke ruang gawat darurat."; "If you feel sick, you should go to the emergency room."; Noun, Noun
"ruang kelas";"classroom";"Guru sedang mengajar di ruang kelas."; "The teacher is teaching in the classroom."; Noun, Noun
"ruang makan";"dining room";"Saat ini, kita akan makan di ruang makan."; "Right now, we will eat in the dining room."; Noun, Noun
"ruang masuk";"entrance";"Saat kamu masuk, silakan lepas sepatumu di ruang masuk."; "When you enter, please take off your shoes in the entrance."; Noun, Noun
"ruang rapat";"meeting room";"Kami akan rapat di ruang rapat."; "We will have a meeting in the meeting room."; Noun, Noun
"ruang tunggu";"waiting room";"Pasien dapat menunggu di ruang tunggu hingga dipanggil."; "Patients can wait in the waiting room until they are called."; Noun, Noun
"rubah";"fox";"Rubah memiliki bulu merah."; "Foxes have red fur."; Noun, Noun
"rumah makan";"restaurant";"Mereka memelesiki rumah makan tersebut."; "They are dining at the restaurant."; Noun, Noun
"rumah sakit";"hospital";"Anak saya dirawat di rumah sakit karena demam."; "My child is being treated at the hospital because of fever."; Noun, Noun
"rumput";"grass";"Saya suka berjemur di atas rumput."; "I like sunbathing on the grass."; Noun, Noun
"rumput liar";"weed";"Ada banyak rumput liar yang tumbuh di taman rumah."; "There are a lot of weeds growing in the home garden."; Noun, Noun
"Rusia";"Russia";"Saya tidak pernah pergi ke Rusia."; "I have never been to Russia."; Proper Noun, Proper Noun
"Sabtu";"Saturday";"Besok adalah Sabtu, hari yang aku nantikan."; "Tomorrow is Saturday, the day I have been waiting for."; Noun, Noun
"sabuk pengaman";"seat belt";"Jangan lupa mengikat sabuk pengaman saat berkendara"; "Don't forget to fasten your seat belt when driving."; Noun, Noun
"sabun";"soap";"Saya membeli sabun cair di toko dekat rumah."; "I bought liquid soap at the store near my house."; Noun, Noun
"sabun cair";"liquid soap";"Saya lebih suka sabun cair daripada sabun batang."; "I prefer liquid soap to bar soap."; Noun, Noun
"sakit";"pain";"Saya merasakan sakit di telingaku."; "I feel pain in my ear."; Adjective, Noun
"sakit kepala";"headache";"Saya sering merasakan sakit kepala setiap hari."; "I often have a headache every day."; Noun, Noun
