"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"London";"London";"Saya ingin pergi ke London pada musim panas ini";"I want to go to London this summer";"Noun"
"longgar";"Loose";"Celana saya terlalu longgar";"My pants are too loose";"Adjective"
"longsor salju";"Avalanche";"Di pegunungan, mereka sering mengalami longsor salju";"In the mountains, they often experience avalanches";"Noun"
"lorong";"Corridor";"Tolong tutup pintu lorong di depanmu";"Please close the corridor door in front of you";"Noun"
"Los Angeles";"Los Angeles";"Saya pernah tinggal di Los Angeles selama setahun";"I used to live in Los Angeles for a year";"Noun"
"loteng";"Attic";"Anak itu suka main di loteng rumahnya";"The child likes to play in their house's attic";"Noun"
"luar";"Outside";"Saya sedang menunggu di luar gedung";"I'm waiting outside the building";"Adverb"
"luas";"Wide";"Lapangan yang kita mainkan tadi luas sekali";"The field we played on earlier is very wide";"Adjective"
"lubang hidung";"Nostril";"Jangan sentuh lubang hidungmu saat sakit flu";"Don't touch your nostrils when you have the flu";"Noun"
"lucu";"Funny";"Kucing itu bermain dan terlihat sangat lucu";"The cat is playing and looks very funny";"Adjective"
"ludah";"Saliva";"Tolong lapkan ludahmu di sana";"Please wipe your saliva over there";"Noun"
"luka";"Wound";"Tolong bantuku membersihkan luka ini";"Please help me clean this wound";"Noun"
"luka bakar";"Burn wound";"Ibu saya selalu menangani luka bakar kami dengan cepat";"My mother always handles our burn wounds quickly";"Noun"
"lukisan";"Painting";"Lukisan itu dibuat oleh seniman terkenal";"The painting was made by a famous artist";"Noun"
"lulus sekolah";"Graduate from school";"Saya berharap dapat lulus sekolah tahun ini";"I hope to graduate from school this year";"Verb"
"lulus ujian";"Pass an exam";"Siswa itu senang karena dia telah lulus ujian";"The student is happy because he has passed an exam";"Verb"
"lumba-lumba";"Dolphin";"Kami melihat lumba-lumba sedang bermain di laut";"We saw dolphins playing in the ocean";"Noun"
"lusa";"The day after tomorrow";"Kita akan bertemu lusa di taman";"We will meet the day after tomorrow in the park";"Adverb"
"Maaf";"Sorry";"Maaf, saya terlambat datang ke acara ini";"Sorry, I'm late to this event";"Interjection"
"Maaf sudah menunggu lama";"Sorry for waiting for so long";"Maaf sudah menunggu lama, saya sedang terjebak macet";"Sorry for waiting for so long, I was caught in traffic";"Phrase"
