"udang";"shrimp";"Saat berkunjung ke pantai, saya selalu memesan udang goreng.";"When visiting the beach, I always order fried shrimp.";"noun, noun, verb"
"ujian akhir";"final exam";"Saya merasa gugup menjelang ujian akhir semester ini.";"I feel nervous before this semester's final exam.";"noun, noun, verb"
"ukuran";"size";"Tolong berikan saya ukuran sepatu yang tepat.";"Please give me the right shoe size.";"noun, verb"
"ulang tahun";"birthday";"Saya selalu merayakan ulang tahun saya bersama keluarga.";"I always celebrate my birthday with my family.";"noun, verb"
"ular";"snake";"Saya takut melihat ular di kebun.";"I am scared of seeing a snake in the garden.";"noun"
"ulat";"caterpillar";"Kupu-kupu berasal dari ulat yang telah bermetamorfosis.";"Butterflies come from caterpillars that have metamorphosed.";"noun"
"ulat bulu";"hairy caterpillar";"Jangan sentuh ulat bulu itu, dia beracun.";"Don't touch that hairy caterpillar, it's poisonous.";"noun, adjective, noun"
"ungkapan";"idiom";"Bahasa Indonesia memiliki banyak ungkapan yang unik.";"Indonesian language has many unique idioms.";"noun"
"ungu";"purple";"Baju kebaya itu memiliki corak ungu yang cantik.";"That kebaya has a beautiful purple pattern.";"adjective"
"universitas";"university";"Saya akan mendaftar kuliah di universitas terbaik di negeri ini.";"I will apply to the best university in this country.";"noun"
"upacara";"ceremony";"Upacara bendera akan dilaksanakan pada senin depan.";"Flag ceremony will be held next Monday.";"noun"
"upah";"salary";"Perusahaan tersebut menawarkan upah yang tinggi bagi karyawan baru.";"The company offers a high salary for new employees.";"noun"
"utara";"north";"Surga Bidadari terletak di sebelah utara Bali.";"The Angel's Heaven is located north of Bali.";"noun, adjective"
"vaksin";"vaccine";"Vaksin sinovac adalah vaksin yang aman dan efektif untuk melawan covid-19.";"Sinovac vaccine is a safe and effective vaccine to fight covid-19.";"noun"
"valuta asing";"foreign exchange";"Valuta asing sering digunakan untuk perdagangan internasional.";"Foreign exchange is often used for international trade.";"noun, adjective"
"video game";"video game";"Video game sangat populer di kalangan anak-anak dan juga orang dewasa.";"Video games are very popular among children and adults alike.";"noun"
"visa";"visa";"Saya memerlukan visa untuk mengunjungi Jepang sebagai wisatawan.";"I need a visa to visit Japan as a tourist.";"noun"
"wanita";"woman";"Wanita di Indonesia semakin aktif dalam berkarir dan berwirausaha.";"Women in Indonesia are becoming more active in their careers and entrepreneurship.";"noun"
"warna";"color";"Warna-warna cerah membuat suasana hati saya semakin baik.";"Bright colors make my mood better.";"noun"
"warna pekat";"dark color";"Baju saya banyak menggunakan warna pekat seperti hitam dan biru tua.";"My clothes have a lot of dark colors like black and navy blue.";"noun, adjective"
