"Mei";"May";"Mei adalah bulan kelima dalam kalender Gregorian.";"May is the fifth month in the Gregorian calendar.";"Noun, Proper"
"meja";"table";"Tolong taruh buku itu di meja.";"Please put the book on the table.";"Noun, Common"
"meja dapur";"kitchen table";"Ibu sedang melakukan pekerjaan rumah di dekat meja dapur.";"Mom is doing some housework near the kitchen table.";"Noun, Common"
"meja makan";"dining table";"Setiap malam, keluargaku berkumpul di meja makan.";"Every night, my family gathers around the dining table.";"Noun, Common"
"meja tamu";"living room table";"Kami meletakkan koran di atas meja tamu.";"We put the newspaper on the living room table.";"Noun, Common"
"meja tulis";"desk";"Saya suka bekerja di meja tulis saya yang baru.";"I love working on my new desk.";"Noun, Common"
"mekanik";"mechanic";"Kendaraanku perlu diperbaiki dan aku akan membawanya ke mekanik besok.";"My vehicle needs to be fixed and I will bring it to the mechanic tomorrow.";"Noun, Common"
"mekar";"bloom";"Bunga-bunga itu mekar dengan cantik di pagi hari.";"The flowers bloom beautifully in the morning.";"Verb"
"Meksiko";"Mexico";"Saya ingin pergi ke Meksiko untuk liburan.";"I want to go to Mexico for vacation.";"Noun, Proper"
"meletakkan";"put down";"Tolong meletakkan koperku di atas meja.";"Please put my suitcase down on the table.";"Verb"
"melihat-lihat";"look around";"Kami baru saja tiba di kota baru dan ingin melihat-lihat sekitarnya.";"We just arrived in a new city and want to look around.";"Verb"
"melompat";"jump";"Anak kecil itu suka melompat-lompat di kolam renang.";"The little kid likes to jump around in the swimming pool.";"Verb"
"Melon";"Melon";"Saya suka makan melon sebagai camilan.";"I like eating melon as a snack.";"Noun, Common"
"meludah";"spit";"Tidak sopan untuk meludah di tempat umum.";"It is impolite to spit in public.";"Verb"
"memainkan alat musik";"play a musical instrument";"Saya sedang belajar untuk memainkan alat musik baru.";"I am currently learning how to play a new musical instrument.";"Verb"
"memakai";"wear";"Saya akan memakai baju baru ini untuk pesta nanti malam.";"I will wear this new dress for the party tonight.";"Verb"
"memakai mikrowave";"use the microwave";"Tolong buatkan saya popcorn dengan memakai microwave itu.";"Please make me some popcorn using the microwave.";"Verb"
"memaksa";"force";"Tidak baik untuk memaksa seseorang melakukan sesuatu yang tidak ingin mereka lakukan.";"It is not good to force someone to do something they do not want to do.";"Verb"
"memanaskan";"heat up";"Tolong memanaskan sup itu di atas kompor.";"Please heat up the soup on the stove.";"Verb"
"memancing";"fishing";"Ayahku senang memancing di tepi danau.";"My dad likes to go fishing by the lake.";"Verb"
