"burung puyuh";"quail";"Makanan kesukaan saya adalah burung puyuh";"My favorite food is quail";"Noun"
"butik";"boutique";"Saya suka belanja di butik";"I like to shop at the boutique";"Noun"
"cabai";"chili pepper";"Saya suka makanan pedas dengan tambahan cabai";"I like spicy food with added chili peppers";"Noun"
"cabang";"branch";"Kantor cabang terbaru akan dibuka di kota ini";"The newest branch office will be opened in this city";"Noun"
"cacing";"worm";"Saya takut dengan cacing";"I am afraid of worms";"Noun"
"camilan tengah malam";"midnight snack";"Camilan tengah malam saya adalah keripik kentang";"My favorite midnight snack is potato chips";"Noun"
"cangkir";"cup";"Saya membutuhkan cangkir untuk minum kopi";"I need a cup to drink coffee";"Noun"
"cangkir kopi";"coffee cup";"Cangkir kopi itu terbuat dari keramik";"That coffee cup is made of ceramic";"Noun"
"cangkir teh";"tea cup";"Saya suka minum teh dari cangkir yang kecil";"I like to drink tea from a small cup";"Noun"
"cantik";"beautiful";"Bunga itu sangat cantik";"That flower is very beautiful";"Adjective"
"capai";"reach";"Tangan saya tidak bisa capai itu";"My hand cannot reach that";"Verb"
"cara berpikir";"way of thinking";"Cara berpikir saya sangat positif";"My way of thinking is very positive";"Noun"
"catur";"chess";"Saya suka bermain catur";"I like to play chess";"Noun"
"CD";"CD";"Saya ingin membeli CD baru";"I want to buy a new CD";"Noun"
"cedera";"injury";"Atlet itu mengalami cedera parah";"The athlete suffered a severe injury";"Noun"
"cek";"check";"Saya harus cek ulang pekerjaan saya";"I need to double-check my work";"Verb"
"cek perjalanan";"travel check";"Saya harus cek perjalanan sebelum berangkat";"I need to do a travel check before leaving";"Noun"
"celana";"pants";"Saya memakai celana panjang hari ini";"I'm wearing pants today";"Noun"
"celana boxer";"boxer shorts";"Saya suka memakai celana boxer ketika tidur";"I like to wear boxer shorts when I sleep";"Noun"
"celana dalam";"underwear";"Celana dalam itu terlihat nyaman";"That underwear looks comfortable";"Noun"
