"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"Tolong pelan-pelan";"Slowly please";"Tolong pelan-pelan, saya sedang sakit."; "Slowly please, I am sick."; "Expression"
"Tolong!";"Help!";"Tolong! Ada kereta mau menabrak."; "Help! There's a train about to hit."; "Expression"
"tomat";"Tomato";"Saya suka makan sandwich dengan tomat."; "I like to eat sandwich with tomato."; "Noun"
"tong sampah";"Trash can";"Tolong buang sampah di tong sampah, bukan di lantai."; "Please throw the trash in the trash can, not on the floor."; "Noun"
"tonggeret";"Cockroach";"Aduh, ada tonggeret di dapur!"; "Oops, there's a cockroach in the kitchen!"; "Noun"
"topan";"Typhoon";"Pakai jaket tebal kalau mau keluar, nanti ada topan."; "Wear a thick jacket if you're going out, there might be a typhoon."; "Noun"
"topi";"Hat";"Topi kamu cocok banget sama baju ini."; "Your hat matches this outfit perfectly."; "Noun"
"tornado";"Tornado";"Tornado merusak rumah-rumah di sekitar."; "The tornado damaged houses around it."; "Noun"
"Toronto";"Toronto";"Saya ingin pergi ke Toronto, Canada suatu saat."; "I want to go to Toronto, Canada someday."; "Proper noun"
"track and field";"Track and field";"Saya dulu senang bermain track and field waktu di sekolah."; "I used to enjoy playing track and field when I was in school."; "Noun"
"trem";"Tram";"Trem nya sudah lebih dari 30 menit telat."; "The tram is already more than 30 minutes late."; "Noun"
"trenggiling";"Pangolin";"Trenggiling adalah hewan yang langka dan dilindungi."; "Pangolin is a rare and protected animal."; "Noun"
"troli";"Cart";"Tolong bantu saya tolak troli ini keluar dari mall."; "Please help me push this cart out of the mall."; "Noun"
"trombon";"Trombone";"Saya suka suara trombon dalam orkestra."; "I like the sound of the trombone in the orchestra."; "Noun"
"trompet";"Trumpet";"Anak saya ingin belajar main trompet di band sekolah."; "My child wants to learn how to play the trumpet in school band."; "Noun"
"trotoar";"Sidewalk";"Di Jakarta, banyak trotoar yang rusak dan sulit untuk dilewati."; "In Jakarta, many sidewalks are damaged and difficult to pass through."; "Noun"
"truk";"Truck";"Truk itu memuat berbagai macam barang."; "That truck carries various kinds of goods."; "Noun"
"tsunami";"Tsunami";"Tsunami telah menimbulkan banyak kerusakan di Jepang."; "The tsunami has caused a lot of damage in Japan."; "Noun"
"tuan tanah";"Landlord";"Saya masih belum membayar sewa bulan ini, belum bicara dengan tuan tanah."; "I haven't paid rent this month, haven't talked to the landlord yet."; "Noun"
"tubuh";"Body";"Kita harus merawat tubuh kita dengan baik."; "We have to take good care of our body."; "Noun"
