"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"insinyur";"engineer";"Saya ingin menjadi insinyur di masa depan."; "I want to become an engineer in the future."; "noun"
"interlokal";"interlocal";"Kami sedang dalam pembicaraan melalui panggilan interlokal.";"We are currently in a conversation via interlocal call.";"adjective"
"internet";"internet";"Saya memerlukan internet untuk bekerja.";"I need internet to work.";"noun"
"iPhone";"iPhone";"Saya telah membeli iPhone baru."; "I have bought a new iPhone."; "noun"
"isi pensil";"pencil refill";"Tolong belikan saya isi pensil untuk pensil mekanik saya.";"Please buy me a pencil refill for my mechanical pencil.";"noun"
"isi steples";"staples refill";"Saya membeli isi steples baru untuk stapler saya.";" I bought a new staples refill for my stapler.";"noun"
"istana";"palace";"Istana Negara terletak di Jakarta, Indonesia.";"The National Palace is located in Jakarta, Indonesia.";"noun"
"Italia";"Italy";"Saya bermimpi untuk mengunjungi Italia suatu hari nanti.";"I dream of visiting Italy someday.";"noun"
"iya";"yes";"Iya, saya setuju dengan pendapatmu.";"Yes, I agree with your opinion.";"interjection"
"izin masuk kembali";"re-entry permit";"Saya harus mendapatkan izin masuk kembali untuk kembali ke negara ini.";"I need to get a re-entry permit to return to this country.";"noun"
"jadwal";"schedule";"Saya harus memeriksa jadwalku sebelum memberikan jawaban.";"I need to check my schedule before giving an answer.";"noun"
"jagung";"corn";"Saya menyukai jagung panggang.";"I like grilled corn.";"noun"
"jahe";"ginger";"Jahe dapat digunakan sebagai bahan alami untuk menyembuhkan sakit kepala.";"Ginger can be used as a natural ingredient to cure headaches.";"noun"
"Jakarta";"Jakarta";"Saya hidup di Jakarta, ibukota Indonesia.";"I live in Jakarta, the capital of Indonesia.";"noun"
"jaket";"jacket";"Saya memakai jaket karena cuaca dingin."; "I wear a jacket because of the cold weather.";"noun"
"jaket keselamatan";"safety jacket";"Harus memakai jaket keselamatan saat bekerja di lokasi konstruksi.";"Must wear safety jacket when working on construction sites.";"noun"
"jalan layang";"flyover";"Kemacetan di jalan layang sangat parah pada jam sibuk."; "Traffic congestion on the flyover is very severe during rush hour.";"noun"
"jalan raya";"highway";"Saya harus menyeberangi jalan raya besar untuk mencapai tujuan.";"I have to cross a big highway to reach the destination.";"noun"
"jam";"hour";"Berapa jam sekarang?";"What time is it now?";"noun"
"jam dinding";"wall clock";"Jam dinding di ruang tamu tidak berfungsi.";"The wall clock in the living room is not working.";"noun"
