"menerjemahkan";"translate";"Saya menerjemahkan dokumen dari Bahasa Inggris ke Bahasa Indonesia.";"I translate documents from English to Indonesian.";"verb"
"menertawakan";"laugh at";"Dia menertawakan lelucon saya yang konyol.";"He laughed at my silly joke.";"verb"
"mengadakan rapat";"hold a meeting";"Perusahaan kami mengadakan rapat mingguan setiap hari Kamis.";"Our company holds a weekly meeting every Thursday.";"verb"
"mengagumkan";"amazing";"Pemandangan dari atas gunung sangat mengagumkan.";"The view from the top of the mountain is amazing.";"adjective"
"mengajar";"teach";"Guru tersebut mengajar bahasa Inggris dengan baik.";"The teacher teaches English well.";"verb"
"mengajukan";"submit";"Saya akan mengajukan proposal bisnis pada minggu depan.";"I will submit a business proposal next week.";"verb"
"mengambil";"take";"Saya mengambil buku dari rak untuk membacanya.";"I took the book from the shelf to read it.";"verb"
"mengambil foto";"take a photo";"Saya mengambil foto pemandangan dari atas.";"I took a photo of the view from the top.";"verb"
"mengangkat";"lift";"Saya harus mengangkat kotak berat ke atas tangga.";"I have to lift a heavy box up the stairs.";"verb"
"mengangkat tangan";"raise your hand";"Siswa tersebut mengangkat tangan untuk menjawab pertanyaan.";"The student raised their hand to answer the question.";"verb"
"mengasyikkan";"exciting";"Acara tersebut sangat mengasyikkan dan menyenangkan.";"The event was very exciting and enjoyable.";"adjective"
"mengawasi";"watch over";"Orang tua harus mengawasi anak-anak mereka saat bermain di luar rumah.";"Parents should watch over their children when playing outside.";"verb"
"mengeblow";"blow dry";"Saya harus mengeblow rambut dengan hair dryer setelah keramas.";"I have to blow dry my hair with a hair dryer after washing it.";"verb"
"mengecat";"paint";"Saya mencoba mengecat dinding dengan warna yang baru.";"I am trying to paint the walls with a new color.";"verb"
"mengekspor";"export";"Perusahaan kami sering mengekspor produk ke negara-negara di Asia Tenggara.";"Our company often exports products to countries in Southeast Asia.";"verb"
"mengelap";"wipe";"Saya harus mengelap meja setelah makan untuk menjaga kebersihannya.";"I have to wipe the table after eating to keep it clean.";"verb"
"mengelilingi";"surround";"Taman itu mengelilingi istana beserta taman lainnya.";"The park surrounds the castle and other gardens.";"verb"
"mengembalikan";"return";"Saya harus mengembalikan buku di perpustakaan sebelum tanggal jatuh tempo.";"I have to return the book to the library before the due date.";"verb"
"mengenakan";"wear";"Saya mengenakan sepatu baru saat pergi ke pesta.";"I wore new shoes when going to the party.";"verb"
"mengepas";"fit";"Saya mencoba mengepas baju yang baru saya beli dan ternyata pas dengan ukuran saya.";"I tried fitting the new clothes that I bought and they fit my size.";"verb"
