"seni bela diri campuran";"mixed martial arts";"Saya senang belajar seni bela diri campuran di gym setiap Rabu malam.";"I am happy to learn mixed martial arts at the gym every Wednesday night.";"noun"
"Senin";"Monday";"Pertandingan sepak bola dimainkan setiap Senin di stadion kota ini.";"The soccer game is played every Monday at the city stadium.";"noun"
"sentimeter";"centimeter";"Tinggi sepatu saya adalah lima puluh sentimeter.";"My shoes' height is fifty centimeters.";"noun"
"Seoul";"Seoul";"Saya ingin mengunjungi Seoul di musim gugur.";"I want to visit Seoul in the fall.";"noun"
"sepak bola";"soccer";"Anak laki-laki itu memiliki bakat dalam memainkan sepak bola.";"The boy has talent in playing soccer.";"noun"
"sepak bola Amerika";"American football";"Sepak bola Amerika tidak populer di sini.";"American football is not popular here.";"noun"
"sepanjang hari";"all day long";"Saya bekerja sepanjang hari di kantor yang ramai.";"I work all day long in a busy office.";"adverb"
"sepatu";"shoes";"Warna sepatu saya adalah hitam.";"The color of my shoes is black.";"noun"
"sepatu boot";"boot";"Dia memakai sepatu boot yang tahan air di hari hujan.";"He wears waterproof boots on rainy days.";"noun"
"sepatu kets";"sneakers";"Saya suka berolahraga dengan memakai sepatu kets yang nyaman.";"I like to exercise wearing comfortable sneakers.";"noun"
"sepeda";"bicycle";"Saat cuaca cerah, saya suka bersepeda di taman kota.";"When the weather is nice, I like to ride my bicycle in the city park.";"noun"
"sepeda motor";"motorcycle";"Dia membeli sepeda motor baru dengan harga satu juta rupiah.";"He bought a new motorcycle for one million rupiahs.";"noun"
"September";"September";"Tahun ini bulan September lebih dingin dari September tahun lalu.";"This year, September is colder than last year's September.";"noun"
"sepuluh";"ten";"Dia membeli sepuluh roti untuk pesta ulang tahun.";"He bought ten breads for the birthday party.";"number"
"sepuluh milyar";"ten billion";"Perusahaan tersebut berhasil mengumpulkan pendapatan lebih dari sepuluh milyar rupiah selama satu tahun.";"The company successfully gathered revenue over ten billion rupiahs for one year.";"number"
"sepuluh ribu";"ten thousand";"Harga mobil bekas itu hanya sepuluh ribu dolar.";"The price of that used car is only ten thousand dollars.";"number"
"sepuluh trilyun";"ten trillion";"Angka sepuluh trilyun terdengar sangat besar dan hampir sulit dipercayai.";"The number ten trillion sounds very large and almost unbelievable.";"number"
"seram";"scary";"Laki-laki itu memiliki wajah yang seram dan menakutkan.";"The man has a scary and frightening face.";"adjective"
"seratus";"one hundred";"Saya memberikan seratus lembar uang tip kepada sopir taksi yang baik hati.";"I gave one hundred tip bills to the kind-hearted taxi driver.";"number"
"seratus juta";"one hundred million";"Harga rumah besar itu mencapai seratus juta rupiah.";"The price of that big house reached one hundred million rupiahs.";"number"
