"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"sakit perut";"stomach ache";"Saya merasa sakit perut setelah makan seafood";"I feel stomach ache after eating seafood";"noun, noun"
"sakit tenggorokan";"sore throat";"Saya sedang mengalami sakit tenggorokan";"I am experiencing sore throat";"noun, noun"
"saksofon";"saxophone";"Dia bermain saksofon dengan sangat bagus";"He plays the saxophone very well";"noun"
"salah sambung";"wrong connection";"Salah sambung nomor telepon dapat menyebabkan kebingungan";"Wrong connection of phone numbers can cause confusion";"noun, noun"
"salju";"snow";"Di musim dingin, banyak salju yang turun";"In winter, a lot of snow falls";"noun"
"salmon";"salmon";"Saat makan di restoran, saya memesan salmon panggang";"When eating out, I order grilled salmon";"noun"
"saluran";"channel";"Saluran TV favorit saya adalah Discovery Channel";"My favorite TV channel is Discovery Channel";"noun"
"Sama-sama";"you're welcome";"Sama-sama, jangan sungkan untuk meminta bantuan lagi";"You're welcome, don't hesitate to ask for help again";"interjection"
"sampah";"trash";"Mari kita bersama-sama menjaga lingkungan dengan tidak membuang sampah sembarangan";"Let's keep the environment clean by not littering";"noun"
"sampai";"until";"Jadwal film dimulai pukul 9 malam sampai 11 malam";"The movie schedule starts from 9 pm until 11 pm";"conjunction"
"sampo";"shampoo";"Sampo ini cocok untuk rambut kering";"This shampoo is suitable for dry hair";"noun"
"samudera";"ocean";"Samudera Pasifik merupakan samudera terluas di dunia";"The Pacific Ocean is the largest ocean in the world";"noun"
"Samudera Arktik";"Arctic Ocean";"Suhu di sekitar Samudera Arktik sangat dingin";"The temperature around the Arctic Ocean is very cold";"noun, noun"
"Samudera Selatan";"Southern Ocean";"Samudera Selatan terletak di antara lima benua";"The Southern Ocean is located between five continents";"noun, noun"
"Samudra Atlantik";"Atlantic Ocean";"Samudra Atlantik terletak di antara Amerika Utara dan Eropa";"The Atlantic Ocean is located between North America and Europe";"noun, noun"
"Samudra Hindia";"Indian Ocean";"Samudra Hindia memiliki banyak keindahan bawah laut";"The Indian Ocean has many underwater beauties";"noun, noun"
"Samudra Pasifik";"Pacific Ocean";"Samudra Pasifik merupakan salah satu sumber makanan bagi manusia";"The Pacific Ocean is one of the sources of food for humans";"noun, noun"
"sandiwara";"drama";"Saat ini, saya sedang membaca naskah sandiwara untuk dijadikan tayangan";"Currently, I am reading a drama script to be staged";"noun"
"sangat baik";"very good";"Prestasi yang dicapai oleh tim sepak bola ini sangat baik";"The achievement of this football team is very good";"adverb, adjective"
"santai";"relaxed";"Suasana di pantai sangat cocok untuk santai dan menenangkan diri";"The atmosphere on the beach is very suitable for relaxing and calming oneself";"adjective"
