"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"remote control";"remote control";"Saya sedang mencari remote control untuk televisi."; "I am searching for the remote control for the TV."; "noun, noun"
"rempah";"spices";"Rempah akan menambah rasa masakan menjadi lebih sedap."; "Spices will enhance the flavor of the dish."; "noun"
"renang";"swimming";"Saya senang berenang di kolam renang pada akhir pekan."; "I enjoy swimming at the pool on weekends."; "verb"
"rencana";"plan";"Ada rencana untuk melakukan renovasi rumah dalam waktu dekat."; "There is a plan to renovate the house in the near future."; "noun"
"rencana perjalanan";"travel itinerary";"Saya sedang merencanakan perjalanan dan sudah memiliki rencana perjalanan yang matang."; "I am planning a trip and already have a well-planned travel itinerary."; "noun, noun"
"rendah";"low";"Harga bahan pokok sedang sangat rendah saat ini."; "The price of basic needs is currently very low."; "adjective"
"resep obat";"prescription";"Saya harus mengambil obat sesuai dengan resep obat dokter."; "I have to take medication according to the doctor's prescription."; "noun, noun"
"resepsionis";"receptionist";"Saya perlu bicara dengan resepsionis untuk meminta bantuan selama menginap di hotel."; "I need to speak with the receptionist to ask for assistance during my stay at the hotel."; "noun"
"rice cooker";"rice cooker";"Saya suka memasak nasi dengan rice cooker supaya lebih mudah."; "I like cooking rice with a rice cooker to make it easier."; "noun, noun"
"riwayat kesehatan";"medical history";"Dokter meminta riwayat kesehatan pasien sebelum memberikan pengobatan yang tepat."; "The doctor asks for the patient's medical history before providing the proper treatment."; "noun, noun"
"rock and roll";"rock and roll";"Saya sangat suka lagu rock and roll karena iramanya sangat enerjik."; "I really like rock and roll songs because their rhythm is very energetic."; "noun"
"rok";"skirt";"Saya memakai rok mini saat pergi ke pesta keluarga."; "I wear a mini skirt to go to a family party."; "noun"
"rok mini";"mini skirt";"Rok mini akan sangat cocok jika dipadukan dengan atasan warna terang."; "A mini skirt will be very suitable when paired with a bright colored top."; "noun, noun"
"Roma";"Rome";"Saya pernah mengunjungi Roma dan sangat terkesan dengan sejarah kota itu."; "I have visited Rome before and was very impressed by its history."; "noun"
"rompi";"vest";"Saya memakai rompi saat bersepeda agar tetap hangat dan aman."; "I wear a vest while cycling to stay warm and safe."; "noun"
"ronsen";"x-ray";"Dokter meresepkan ronsen untuk mengecek kondisi tulang pasien."; "The doctor prescribes an x-ray to check the patient's bone condition."; "noun"
"roti";"bread";"Roti segar sangat nikmat untuk dinikmati pagi hari."; "Fresh bread is very delicious to enjoy in the morning."; "noun"
"router";"router";"Router sangat penting untuk menghubungkan perangkat ke internet."; "A router is very important to connect devices to the internet."; "noun"
"ruam";"rash";"Bayi sering memiliki ruam yang disebabkan oleh popok yang basah atau kain yang terlalu ketat."; "Babies often have a rash caused by wet diapers or tight clothing."; "noun"
"ruang bawah tanah";"basement";"Ruang bawah tanah digunakan sebagai gudang untuk menyimpan barang-barang yang tidak sering digunakan."; "The basement is used as a storage room for items that are not frequently used."; "noun, noun"
