"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"pensil mekanik";"mechanical pencil";"Saya suka menggunakan pensil mekanik ketika saya menggambar.";"I like to use a mechanical pencil when drawing.";"noun, noun, verb, pronoun, verb"
"pensiun";"retirement";"Orang tua saya baru saja pensiun setelah bekerja selama 30 tahun.";"My parents just retired after working for 30 years.";"noun, verb, pronoun, verb"
"pentas musikal";"musical performance";"Saya pernah menonton pentas musikal yang sangat indah.";"I once watched a beautiful musical performance.";"noun, noun, pronoun, adjective"
"penting";"important";"Kesehatan itu sangat penting, maka jangan disepelekan.";"Health is very important so don't underestimate it.";"adjective"
"penuh harapan";"full of hope";"Hari ini, saya merasa penuh harapan untuk masa depan saya.";"Today, I feel full of hope for my future.";"adjective, noun, verb, pronoun"
"penuh semangat";"full of spirit";"Saya selalu berusaha untuk tetap penuh semangat dalam menjalani hidup.";"I always try to stay full of spirit in life.";"adjective, noun, verb, pronoun, verb"
"penuh sesak";"crowded";"Stasiun kereta api selalu penuh sesak saat waktu pulang kantor.";"The train station is always crowded during rush hours.";"adjective, adjective, noun, adverb, noun"
"penulis";"writer";"Saya ingin menjadi penulis yang bisa menginspirasi banyak orang.";"I want to become a writer who can inspire many people.";"noun"
"penumpang";"passenger";"Penumpang kapal laut harus memakai pelampung saat keadaan darurat.";"Passengers on a ship must wear life jackets in an emergency.";"noun"
"penyakit";"disease";"Mencegah penyakit lebih mudah dibandingkan mengobati penyakit.";"Preventing disease is easier than treating it.";"verb, noun, adverb, verb, verb, noun"
"penyanyi";"singer";"Saya sangat kagum dengan suara penyanyi bernama Afgan.";"I am very impressed with the voice of a singer named Afgan.";"noun"
"penyedot debu";"vacuum cleaner";"Saya biasa membersihkan rumah dengan menggunakan penyedot debu.";"I usually clean the house using a vacuum cleaner.";"noun, verb, noun"
"perabot";"furniture";"Kami baru saja membeli beberapa perabot untuk kamar tidur.";"We just bought some furniture for the bedroom.";"noun"
"peradangan";"inflammation";"Peradangan pada kulit bisa membuat kulit merah dan gatal.";"Inflammation on the skin can make it red and itchy.";"noun, preposition, noun, verb, pronoun, verb"
"perahu";"boat";"Pada liburan kemarin, kami pergi mengarungi laut dengan perahu kecil.";"Last holiday, we sailed the sea with a small boat.";"noun"
"perak";"silver";"Kecantikan perak itu selalu membuat saya terpesona.";"The beauty of silver always fascinates me.";"noun"
"Perancis";"France";"Saya ingin sekali pergi ke Perancis dan menjelajahi segala keindahannya.";"I really want to go to France and explore all its beauty.";"noun"
"perangko";"postage stamp";"Sekarang ini, sulit sekali untuk menemukan perangko bergambar pahlawan nasional.";"Nowadays, it's very difficult to find postage stamps with national heroes on them.";"noun, verb, pronoun, adjective, noun"
"perawakan";"physique";"Perawakan yang sehat sangat diperlukan agar bisa menjalani aktivitas sehari-hari dengan baik.";"A healthy physique is necessary to carry out daily activities well.";"noun, pronoun, adverb, verb, verb, adverb, adjective"
"perawat";"nurse";"Perawat adalah profesi yang sangat mulia dan membantu banyak orang.";"Nursing is a noble profession and helps many people.";"noun"
